id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExpandedExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples
v396-anatomy-nternal-laringeal-sinir,Internal laringeal sinir,"[""Internal laringeal sinir"", ""internal laryngeal nerve"", ""superior laringeal sinirin internal dalı""]",Anatomi / larenks,Duyu dalı,P2,Superior laringeal sinirin tirohiyoid membrandan geçen ve vokal kord üstü larenks duyusunu taşıyan dalıdır.,Yabancı cisim/aspirasyon refleksleri ve supraglottik duyu için önemlidir; motor fonksiyonu external dal kadar belirgin değildir.,Vokal kord üstü duyu internal laringeal sinirle taşınır.,Vokal kord altı duyu ve çoğu intrinsik kas motoru rekürren laringeal sinirle ilişkilidir.,"[""Superior laringeal sinir"", ""Tirohiyoid membran"", ""Larenks duyusu""]",0,[]
v396-anatomy-posterior-krikoaritenoid-kas,Posterior krikoaritenoid kas,"[""Posterior krikoaritenoid kas"", ""posterior cricoarytenoid muscle"", ""m. cricoarytenoideus posterior""]",Anatomi / larenks,Vokal kord abdüktörü,P1,Vokal kordları abdukte ederek glottisi açan tek intrinsik larenks kasıdır.,Bilateral rekürren laringeal sinir hasarında posterior krikoaritenoid fonksiyonu kaybolursa hava yolu daralması gelişebilir.,Vokal kordları açan tek kas posterior krikoaritenoiddir.,Krikotiroid kas sesi gerer/inceltir ve external laringeal sinirle ilişkilidir.,"[""Rekürren laringeal sinir"", ""Vokal kord abdüksiyonu"", ""Larenks""]",0,[]
v396-anatomy-vokal-kord-abduksiyonu,Vokal kord abdüksiyonu,"[""Vokal kord abdüksiyonu"", ""vocal cord abduction"", ""glottis açılması""]",Anatomi / fonksiyon,Larenks hareketi,P1,Vokal kordların orta hattan uzaklaşarak hava yolunu açması hareketidir.,Posterior krikoaritenoid kas bu hareketi yapan tek kastır; rekürren laringeal sinir lezyonlarında solunum açısından kritik olabilir.,Vokal kord abdüksiyonu posterior krikoaritenoid kasın görevidir.,Adduksiyon fonasyonu sağlar; abdüksiyon hava yolu açıklığı için gereklidir.,"[""Posterior krikoaritenoid kas"", ""Rekürren laringeal sinir"", ""Glottis""]",3,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-045-rekurren-laringeal-sinir-innervasyonu-krikotiroid] optionFeedback.M. posterior cricoarytenoideus: Yanlıştır; vokal kord abdüksiyonunu sağlayan tek kastır ve n. Laryngeus recurrens tarafından innerve edilir.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-045-rekurren-laringeal-sinir-innervasyonu-krikotiroid] diagnosis.optionComparison.M. posterior cricoarytenoideus: Yanlıştır; vokal kord abdüksiyonunu sağlayan tek kastır ve n. Laryngeus recurrens tarafından innerve edilir.""}]"
v396-anatomy-duktus-torasikus,Duktus torasikus,"[""Duktus torasikus"", ""thoracic duct"", ""ductus thoracicus"", ""torasik kanal""]",Anatomi / lenfatik sistem,Ana lenf kanalı,P0,Vücudun büyük kısmının lenfini sol venöz açıya drene eden ana lenfatik kanaldır.,Boyun cerrahisi sonrası süt görünümünde drenaj şilöz kaçak ve duktus torasikus yaralanmasını düşündürür; sağ üst kadran dışındaki geniş alanları drene eder.,Sol boyun cerrahisi sonrası süt görünümünde drenaj = duktus torasikus yaralanması.,Sağ lenfatik kanal sağ üst ekstremite/sağ toraks/sağ baş-boyun bölgesini drene eder.,"[""Sol venöz açı"", ""Şilöz kaçak"", ""Lenfatik drenaj""]",139,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v194-new-308-boyun-cerrahisi-sonrasi-sut-gorunumunde-drenaj] diagnosis.correct: Ductus thoracicus""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v194-new-308-boyun-cerrahisi-sonrasi-sut-gorunumunde-drenaj] diagnosis.options[2]: Ductus thoracicus""}]"
v396-anatomy-sol-venoz-aci,Sol venöz açı,"[""Sol venöz açı"", ""left venous angle"", ""sol jugulosubklavian açı""]",Anatomi / damar-lenfatik,Duktus torasikus sonlanımı,P1,Sol internal juguler ve sol subklavian venin birleşim bölgesidir.,Duktus torasikus genellikle sol venöz açıya açılır; boyun cerrahisi sonrası şilöz drenaj bu bölge komşuluğuyla ilişkilidir.,Duktus torasikus sol venöz açıya drene olur.,Sağ lenfatik kanal sağ venöz açıya açılır ve daha sınırlı alan drene eder.,"[""Duktus torasikus"", ""Şilöz kaçak"", ""Internal juguler ven""]",30,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v194-new-308-boyun-cerrahisi-sonrasi-sut-gorunumunde-drenaj] learningTarget: Sol venöz açıya yakın lenfatik yapıların cerrahi riskini ve şilöz drenaj paternini ayırt edebilme.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v194-new-308-boyun-cerrahisi-sonrasi-sut-gorunumunde-drenaj] investigations[0].postAnswerExplanation: Yüksek trigliseridli süt görünümünde drenaj, sol venöz açı komşuluğundaki büyük lenfatik kanal yaralanmasını destekler.""}]"
v396-anatomy-siloz-kacak,Şilöz kaçak,"[""Şilöz kaçak"", ""chyle leak"", ""şil drenajı"", ""süt görünümünde drenaj""]",Anatomi / cerrahi komplikasyon,Lenfatik yaralanma,P1,Lenfatik sistemden trigliseridden zengin şilöz sıvının cerrahi alana kaçmasıdır.,Boyun veya toraks cerrahisi sonrası süt renginde drenaj duktus torasikus yaralanmasını düşündürür; anatomi temelli komplikasyon sorusudur.,Süt görünümünde drenaj + sol boyun cerrahisi = duktus torasikus yaralanması.,Pürülan drenaj enfeksiyonu; şilöz drenaj lenfatik yaralanmayı düşündürür.,"[""Duktus torasikus"", ""Sol venöz açı"", ""Lenfatik drenaj""]",6,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v194-new-308-boyun-cerrahisi-sonrasi-sut-gorunumunde-drenaj] title: Boyun cerrahisi sonrası süt görünümünde drenaj""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v194-new-308-boyun-cerrahisi-sonrasi-sut-gorunumunde-drenaj] investigations[0].result.values[1][2]: >110 mg/dL şilöz kaçak için destekleyici""}]"
v396-anatomy-pterion,Pterion,"[""Pterion"", ""pterion bölgesi""]",Anatomi / kafatası,Kraniyal zayıf nokta,P0,"Frontal, parietal, temporal ve sfenoid kemiklerin birleştiği lateral kafatası bölgesidir.",Pterion travmasında orta meningeal arter yaralanabilir ve epidural hematom gelişebilir; temporal travma sorularının klasik anatomik landmarkıdır.,Temporal travma + lucid interval/epidural hematom = pterion ve orta meningeal arter.,Subdural hematom bridging ven yaralanmasıyla daha ilişkilidir.,"[""Orta meningeal arter"", ""Epidural hematom"", ""Temporal kemik""]",27,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v189-new-272-temporal-travma-sonrasi-bilinc-kotulesmesi] clinicalFocus: Temporal kemik travması sonrası gelişen epidural kanamayı dura-kemik aralığı, pterion komşuluğu ve meningeal damar anatomisiyle ilişkilendirme.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v189-new-272-temporal-travma-sonrasi-bilinc-kotulesmesi] diagnosis.explanation: Kısa süreli bilinç kaybından sonra görülen geçici toparlanma ve ardından bilinç kötüleşmesi, temporal travma sonrası hızla genişleyen epidural kanama ile uyumludur. BT’deki bikonveks ekstraaksiyel koleksiyon dura ile kalvaryum arasındaki kanamayı gösterir ve temporal bölgede pterion komşuluğunda dura üzerinde seyreden arte…""}]"
v396-anatomy-orta-meningeal-arter,Orta meningeal arter,"[""Orta meningeal arter"", ""middle meningeal artery"", ""arteria meningea media""]",Anatomi / damar,Dura arteri,P0,Maksiller arterden çıkan ve pterion komşuluğunda dura mater’i besleyen arterdir.,Pterion kırığında yırtılırsa epidural hematom gelişebilir; bikonveks kanama ve lucid interval klinik bağlamıyla sorulur.,Epidural hematomun klasik arteri orta meningeal arterdir.,Subdural kanama bridging ven; subaraknoid kanama berry anevrizma ile ilişkilidir.,"[""Pterion"", ""Epidural hematom"", ""Maksiller arter""]",37,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v189-new-272-temporal-travma-sonrasi-bilinc-kotulesmesi] diagnosis.correct: Arteria meningea media""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v189-new-272-temporal-travma-sonrasi-bilinc-kotulesmesi] diagnosis.options[3]: Arteria meningea media""}]"
v396-anatomy-kavernoz-sinus-icerigi,Kavernöz sinüs içeriği,"[""Kavernöz sinüs içeriği"", ""cavernous sinus contents"", ""kavernöz sinüs yapıları""]",Anatomi / kafa tabanı,Venöz sinüs komşulukları,P1,"Kavernöz sinüs içinde/duvarında internal karotis arter ve III, IV, V1, V2, VI sinirleriyle ilişkili kritik anatomik bölgedir.","Kavernöz sinüs trombozunda oftalmopleji, V1/V2 duyu bulguları ve özellikle abducens sinir tutulumu görülebilir; VI sinir sinüs içinde daha medyal seyreder.",Kavernöz sinüste en erken/kolay etkilenen sinir sıklıkla abducens sinir olarak sorulur.,Optik sinir kavernöz sinüs içeriği değildir; optik kanaldan geçer.,"[""Abducens sinir"", ""Internal karotis arter"", ""Oftalmik sinir"", ""Maksiller sinir""]",3,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v183-new-182-yuz-enfeksiyonu-sonrasi-cift-gorme] diagnosis.answerFeedback.learningOutcome: Kavernöz sinüs içeriğini kraniyal sinir fonksiyonu, duyu dalları ve göz hareketi paternleriyle ilişkilendirebilme.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-107] listTitle: Kavernöz sinüs içeriği""}]"
v396-anatomy-oculomotor-sinir,Oculomotor sinir,"[""Oculomotor sinir"", ""okülomotor sinir"", ""oculomotor nerve"", ""CN III"", ""III. kraniyal sinir""]",Anatomi / kraniyal sinir,Göz hareketi ve parasempatik lifler,P1,"Çoğu ekstraoküler kası, levator palpebrae kasını ve pupilla parasempatik liflerini taşıyan kraniyal sinirdir.","Posterior communicating arter anevrizmasında kompresyona uğrarsa pitoz, dış-aşağı bakış ve midriyazis gelişebilir.",Pitoz + midriyazis + dış-aşağı bakış = CN III palsisi düşün.,Abducens sinir yalnız lateral rektus; trochlear sinir superior oblique kasıyla ilişkilidir.,"[""Posterior communicating arter anevrizması"", ""Pitoz"", ""Midriyazis""]",18,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-107] learningTarget: Sinus cavernosus lateral duvarında CN III, IV, V1 ve V2; sinüs içinde ise arteria carotis interna ve CN VI bulunur. Nervus facialis bu anatomik bölgenin klasik içeriği değildir.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-107] coreKnowledge: Sinus cavernosus lateral duvarında CN III, IV, V1 ve V2; sinüs içinde ise arteria carotis interna ve CN VI bulunur. Nervus facialis bu anatomik bölgenin klasik içeriği değildir.""}]"
v396-anatomy-trochlear-sinir,Trochlear sinir,"[""Trochlear sinir"", ""troklear sinir"", ""trochlear nerve"", ""CN IV"", ""IV. kraniyal sinir""]",Anatomi / kraniyal sinir,Superior oblik siniri,P1,Superior oblique kasını innerve eden ve dorsal beyin sapından çıkan kraniyal sinirdir.,Lezyonunda özellikle aşağı-içe bakış bozulur; merdiven inerken diplopi yakınması klasik olabilir.,Aşağı-içe bakış bozukluğu superior oblique/trochlear sinir bilgisini gerektirir.,Abducens lateral rektus; oculomotor diğer çoğu ekstraoküler kasla ilişkilidir.,"[""Superior oblique kas"", ""Diplopi"", ""Kraniyal sinirler""]",26,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v183-new-182-yuz-enfeksiyonu-sonrasi-cift-gorme] diagnosis.options[2]: Troklear sinir""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v183-new-182-yuz-enfeksiyonu-sonrasi-cift-gorme] diagnosis.optionComparison.Troklear sinir: Troklear sinir superior oblik kasını innerve eder; aşağı-içe bakışta zorlanma ve merdiven inerken artan vertikal diplopi tipiktir. Bu hastadaki horizontal diplopi ve lateral bakış kısıtlılığı bu dağılıma uymaz.""}]"
v396-anatomy-oftalmik-sinir,Oftalmik sinir,"[""Oftalmik sinir"", ""ophthalmic nerve"", ""V1"", ""CN V1"", ""nervus ophthalmicus""]",Anatomi / trigeminal sinir,Trigeminal duyu dalı,P1,"Trigeminal sinirin alın, kornea ve burun üst bölgesi duyusunu taşıyan dalıdır.",Kavernöz sinüs lateral duvarından ve superior orbital fissürden geçer; kornea refleksinin afferent kolu V1 ile ilişkilidir.,"Kornea refleksi afferenti V1, efferenti fasiyal sinirdir.",Maksiller sinir V2 orta yüz; mandibular sinir V3 alt yüz ve çiğneme kaslarıyla ilişkilidir.,"[""Kavernöz sinüs"", ""Superior orbital fissür"", ""Kornea refleksi""]",9,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-078] options[3].text: Nervus ophthalmicus""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-078] optionFeedback.Nervus ophthalmicus: Yanlış. N. Ophthalmicus lateral duvarda bulunan trigeminal dalıdır.""}]"
v396-anatomy-maksiller-sinir,Maksiller sinir,"[""Maksiller sinir"", ""maxillary nerve"", ""V2"", ""CN V2"", ""nervus maxillaris""]",Anatomi / trigeminal sinir,Trigeminal duyu dalı,P1,"Trigeminal sinirin orta yüz, üst çene ve maksiller dişlerle ilişkili saf duyu dalıdır.",Kavernöz sinüs lateral duvarından ve foramen rotundumdan geçer; V2 duyu kaybı kavernöz sinüs ve kafa tabanı lokalizasyonlarında önemlidir.,Foramen rotundumdan V2 geçer.,"V1 superior orbital fissür, V3 foramen ovale ile ayrılır.","[""Foramen rotundum"", ""Kavernöz sinüs"", ""Trigeminal sinir""]",9,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-078] options[4].text: Nervus maxillaris""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-078] optionFeedback.Nervus maxillaris: Yanlış. N. Maxillaris lateral duvarla ilişkilidir, sinüs lümeninde arterle birlikte seyreden sinir değildir.""}]"
v396-anatomy-mandibular-sinir,Mandibular sinir,"[""Mandibular sinir"", ""mandibular nerve"", ""V3"", ""CN V3"", ""nervus mandibularis""]",Anatomi / trigeminal sinir,Duyu ve motor dal,P1,Trigeminal sinirin alt yüz duyusu ve çiğneme kaslarının motor innervasyonunu taşıyan dalıdır.,"Foramen ovaleden geçer; çiğneme kasları, auriculotemporal sinir ve alt çene duyusu sorularında ana daldır.",Foramen ovale = V3 geçişi olarak ezberlenir.,V1 ve V2 saf duyu ağırlıklıyken V3 motor lif de taşır.,"[""Foramen ovale"", ""Çiğneme kasları"", ""Auriculotemporal sinir""]",4,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-125] explanation: Doğru cevap A’dır. Recurrent laryngeal sinir tiroid cerrahisi ve boyun cerrahisi açısından kritik anatomik yapıdır. Bu sinir larenksin intrinsik kaslarının çoğunu innerve eder; istisna m. Cricothyroideus olup external laryngeal sinir tarafından innerve edilir. Recurrent laryngeal sinir hasarında vokal kord abdüksiyon/adduksiyon fonksiyonları etkilenir ve ses kıs…""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-125] diagnosis.explanation: Doğru cevap A’dır. Recurrent laryngeal sinir tiroid cerrahisi ve boyun cerrahisi açısından kritik anatomik yapıdır. Bu sinir larenksin intrinsik kaslarının çoğunu innerve eder; istisna m. Cricothyroideus olup external laryngeal sinir tarafından innerve edilir. Recurrent laryngeal sinir hasarında vokal kord abdüksiyon/adduksiyon fonksiyonları etkilenir …""}]"
v396-anatomy-superior-orbital-fissur,Superior orbital fissür,"[""Superior orbital fissür"", ""superior orbital fissure"", ""fissura orbitalis superior""]",Anatomi / kafa tabanı,Orbita geçişi,P1,Sfenoid kemikte orbita ile orta kraniyal fossa arasındaki ana sinir geçiş açıklığıdır.,"III, IV, V1 ve VI sinirleri buradan orbitaya geçer; optik sinir ise optik kanaldan geçtiği için ayırt edilmelidir.","Superior orbital fissürden III, IV, V1, VI geçer; optik sinir optik kanaldan geçer.",Foramen rotundum V2; foramen ovale V3; foramen spinosum orta meningeal arterdir.,"[""Oculomotor sinir"", ""Trochlear sinir"", ""Oftalmik sinir"", ""Abducens sinir""]",0,[]
v396-anatomy-optik-kanal,Optik kanal,"[""Optik kanal"", ""optic canal"", ""canalis opticus""]",Anatomi / kafa tabanı,Orbita geçişi,P1,Optik sinir ve oftalmik arterin orbitaya geçtiği sfenoid kemik kanalıdır.,"Superior orbital fissürle karıştırılmamalıdır; optik sinir kavernöz sinüs içeriği değil, optik kanaldan geçen yapıdır.",Optik kanal = CN II + oftalmik arter.,"Superior orbital fissür III, IV, V1, VI geçişidir.","[""Optik sinir"", ""Oftalmik arter"", ""Superior orbital fissür""]",0,[]
v396-anatomy-foramen-rotundum,Foramen rotundum,"[""Foramen rotundum"", ""yuvarlak delik"", ""foramen rotundumdan geçen yapı""]",Anatomi / kafa tabanı,Trigeminal geçiş,P1,Sfenoid kemikte V2 yani maksiller sinirin geçtiği kraniyal foramendir.,Kafa tabanı foramen sorularında V2 ile eşleştirilir; trigeminal dalların geçiş yerlerini ayırmada kullanılır.,Foramen rotundumdan V2 geçer.,Foramen ovale V3; foramen spinosum orta meningeal arterdir.,"[""Maksiller sinir"", ""Trigeminal sinir"", ""Kafa tabanı foramenleri""]",12,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-005-kafa-tabani-foramenleri] options[0].text: Foramen rotundum — n. Maxillaris""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE ai-spot-vakasiz-secki-005-kafa-tabani-foramenleri] explanation: Foramen rotundumdan n. Maxillaris, foramen ovaleden n. Mandibularis, foramen spinosumdan a. Meningea media ve canalis hypoglossiden n. Hypoglossus geçer. N. Facialis foramen lacerumdan değil foramen stylomastoideumdan çıkar. Facialis iç kulak yolu ve canalis facialis üzerinden ilerleyip foramen stylomastoideumdan çıkar; foramen lacerumdan…""}]"
v396-anatomy-foramen-spinosum,Foramen spinosum,"[""Foramen spinosum"", ""spinosum deliği"", ""foramen spinosumdan geçen yapı""]",Anatomi / kafa tabanı,Dura arteri geçişi,P1,Orta meningeal arterin kraniyal boşluğa girdiği sfenoid kemik foramendir.,Epidural hematom anatomi sorularında orta meningeal arter ve foramen spinosum birlikte hatırlanır.,Foramen spinosum = orta meningeal arter.,Foramen ovale V3; foramen rotundum V2 geçişidir.,"[""Orta meningeal arter"", ""Pterion"", ""Epidural hematom""]",18,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v189-new-272-temporal-travma-sonrasi-bilinc-kotulesmesi] diagnosis.optionComparison.Arteria meningea media: Arteria meningea media foramen spinosumdan kraniyuma girer, dura ile temporal kemik iç yüzü arasında seyreder ve pterion komşuluğunda yüzeyseldir. Temporal kırıkla yırtılması klasik lens şeklinde epidural hematom oluşturur.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v189-new-272-temporal-travma-sonrasi-bilinc-kotulesmesi] diagnosis.answerFeedback.optionComparison.Arteria meningea media: Arteria meningea media foramen spinosumdan kraniyuma girer, dura ile temporal kemik iç yüzü arasında seyreder ve pterion komşuluğunda yüzeyseldir. Temporal kırıkla yırtılması klasik lens şeklinde epidural hematom oluşturur.""}]"
v396-anatomy-jugular-foramen,Jugular foramen,"[""Jugular foramen"", ""foramen jugulare"", ""juguler foramen""]",Anatomi / kafa tabanı,Kraniyal sinir geçişi,P1,"Glossopharyngeal, vagus ve aksesuar sinirlerin geçtiği kafa tabanı foramendir.","Yutma, ses kısıklığı ve sternokleidomastoid/trapezius zayıflığı birlikteliği IX-X-XI lokalizasyonu ve jugular foramen sendromunu düşündürebilir.","Jugular foramen = CN IX, X, XI.",Hipoglossal kanal CN XII; internal akustik kanal VII-VIII ile ilişkilidir.,"[""Glossopharyngeal sinir"", ""Vagus siniri"", ""Aksesuar sinir""]",0,[]
v396-anatomy-hipoglossal-kanal,Hipoglossal kanal,"[""Hipoglossal kanal"", ""hypoglossal canal"", ""canalis nervi hypoglossi""]",Anatomi / kafa tabanı,CN XII geçişi,P1,Hipoglossal sinirin kafatasından çıktığı oksipital kemik kanalıdır.,Dil deviasyonu ve dil kası motor bulguları CN XII ve hipoglossal kanal anatomisiyle ilişkilidir.,Hipoglossal kanal = CN XII.,Jugular foramen IX-X-XI; foramen magnum medulla/spinal kökler ve vertebral arterlerle ilişkilidir.,"[""Hipoglossal sinir"", ""Dil deviasyonu"", ""Kafa tabanı foramenleri""]",0,[]
v396-anatomy-cribriform-plak,Cribriform plak,"[""Cribriform plak"", ""cribriform plate"", ""lamina cribrosa"", ""kalburumsu lamina""]",Anatomi / kafa tabanı,Olfaktor lif geçişi,P1,Etmoid kemiğin olfaktor sinir liflerinin geçtiği delikli üst lamina bölümüdür.,Kafa tabanı kırıklarında anosmi ve BOS rinore ile ilişkilidir; olfaktor liflerin geçişi nedeniyle koku duyusu etkilenebilir.,Cribriform plak hasarı anosmi + BOS rinore yapabilir.,Optik kanal görme siniri; cribriform plak olfaktor liflerle ilişkilidir.,"[""Olfaktor sinir"", ""BOS rinore"", ""Kafa tabanı kırığı""]",0,[]
v396-anatomy-posterior-communicating-arter-anevrizmasi,Posterior communicating arter anevrizması,"[""Posterior communicating arter anevrizması"", ""PCom anevrizması"", ""posterior communicating artery aneurysm""]",Anatomi / nörovasküler,CN III komşuluğu,P0,Posterior communicating arter bölgesindeki anevrizmanın oculomotor sinire bası yapabildiği nörovasküler ilişkidir.,CN III parasempatik lifleri yüzeyel seyrettiği için basıda midriyazis ve pitoz gibi bulgular belirginleşebilir.,PCom anevrizması + ağrılı CN III palsisi + midriyazis yüksek uyarıcıdır.,Diyabetik CN III palsisinde pupilla genellikle korunabilir; kompresif anevrizmada pupilla tutulumu önemlidir.,"[""Oculomotor sinir"", ""Pitoz"", ""Midriyazis""]",6,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-127-spot] topic: posterior communicating arter anevrizması""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-127-spot] back: Posterior communicating arter anevrizması.""}]"
v396-anatomy-pitoz,Pitoz,"[""Pitoz"", ""ptozis"", ""ptosis"", ""göz kapağı düşüklüğü""]",Anatomi / klinik bulgu,Levator/patik yol bulgusu,P2,Üst göz kapağının normalden aşağıda durmasıdır.,Oculomotor sinir lezyonunda levator palpebrae fonksiyonu azalır; Horner sendromunda sempatik denervasyonla daha hafif pitoz gelişebilir.,Pitoz + midriyazis CN III basısını; pitoz + miyozis Horner sendromunu düşündürür.,Fasiyal sinir lezyonu göz kapatmada güçlük yapar; pitoz değildir.,"[""Oculomotor sinir"", ""Levator palpebrae"", ""Horner sendromu""]",28,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v183-new-182-yuz-enfeksiyonu-sonrasi-cift-gorme] exam[3]: Sağ alın ve kornea duyusunda hafif azalma vardır; belirgin pitozis veya pupilla dilatasyonu izlenmez.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v183-new-182-yuz-enfeksiyonu-sonrasi-cift-gorme] diagnosis.optionComparison.Okulomotor sinir: Okulomotor sinir medial, superior ve inferior rektuslar ile inferior oblik ve levator palpebrae kaslarını innerve eder; ptosis, midriyazis veya çok yönlü göz hareket kısıtlılığı beklenir. İzole lateral bakışta abduksiyon kaybı okulomotor patern değildir.""}]"
v396-anatomy-midriyazis,Midriyazis,"[""Midriyazis"", ""mydriasis"", ""pupilla dilatasyonu"", ""geniş pupilla""]",Anatomi / klinik bulgu,Pupilla parasempatik kaybı,P2,Pupillanın genişlemiş durumda olmasıdır.,Oculomotor sinirin parasempatik liflerinin kompresyonunda ışık refleksi azalabilir ve midriyazis gelişir; anevrizma basısı açısından kritik ipucudur.,CN III palsisinde pupilla tutulumu kompresif lezyon lehinedir.,Miyozis sempatik yol kaybı veya kolinerjik etkiyle ayrılır.,"[""Oculomotor sinir"", ""Posterior communicating arter anevrizması"", ""Pupilla ışık refleksi""]",32,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v183-new-182-yuz-enfeksiyonu-sonrasi-cift-gorme] exam[3]: Sağ alın ve kornea duyusunda hafif azalma vardır; belirgin pitozis veya pupilla dilatasyonu izlenmez.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v183-new-182-yuz-enfeksiyonu-sonrasi-cift-gorme] diagnosis.optionComparison.Okulomotor sinir: Okulomotor sinir medial, superior ve inferior rektuslar ile inferior oblik ve levator palpebrae kaslarını innerve eder; ptosis, midriyazis veya çok yönlü göz hareket kısıtlılığı beklenir. İzole lateral bakışta abduksiyon kaybı okulomotor patern değildir.""}]"
v396-anatomy-pterigoid-venoz-pleksus,Pterigoid venöz pleksus,"[""Pterigoid venöz pleksus"", ""pterygoid venous plexus"", ""plexus venosus pterygoideus""]",Anatomi / venöz drenaj,Derin yüz venleri,P1,İnfratemporal fossada bulunan ve yüz venleri ile kavernöz sinüs arasında bağlantılar kurabilen venöz pleksustur.,Yüz enfeksiyonlarının emissary venler üzerinden kavernöz sinüse yayılma mantığını açıklamada önemlidir.,Yüz enfeksiyonu → oftalmik/pterigoid ven bağlantıları → kavernöz sinüs trombozu olabilir.,Yüzeyel yüz veni doğrudan; pterigoid pleksus derin yüz bağlantısıdır.,"[""Kavernöz sinüs"", ""Tehlikeli yüz üçgeni"", ""Oftalmik ven""]",0,[]
