id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples,matchingPriority,answerLeakRisk,ambiguityRisk
v397-physiology-safra-kesesi-kontraksiyonu,Safra kesesi kontraksiyonu,Safra kesesi kontraksiyonu | gallbladder contraction | safra kesesi kasılması,Fizyoloji / gastrointestinal,Yağ sindirimi,P1,Safranın duodenuma aktarılması için safra kesesinin kasılmasıdır.,Yağ ve aminoasitler CCK salınımını artırır; CCK safra kesesini kasar ve Oddi sfinkterini gevşetir. Böylece safra yağ sindirimine katılır.,CCK safra kesesi kontraksiyonunun temel hormonal uyarıcısıdır.,Sekretin pankreatik bikarbonatı artırır; safra kesesi kasılması daha çok CCK ile ilişkilidir.,Kolesistokinin | Oddi sfinkteri | Safra | Yağ sindirimi,39,"[Physiology Case ai-spot-vakasiz-secki-174] explanation: Doğru cevap A’dır. Sekretin, özellikle duodenuma geçen asidik kimusun uyarısıyla salınır ve pankreas duktus hücrelerinden bikarbonat sekresyonunu artırır. Bikarbonat, gastrik asidi nötralize ederek pankreatik enzimlerin çalışabileceği daha uygun pH ortamını oluşturur. Mide asit sekresyonunu artıran ana hormon gastrindir; safra kesesi kontraksiyonu ve pankreatik enzim sekresyonu ise daha çok… || [Physiology Case ai-spot-vakasiz-secki-174] optionFeedback.Safra kesesini güçlü biçimde kasarak Oddi sfinkterini kapatır: Yanlıştır. Safra kesesi kontraksiyonu ve oddi sfinkter relaksasyonu daha çok CCK etkisiyle ilişkilidir. Sekretinin ana etkisi bikarbonat sekresyonudur.",92,low,low
v397-physiology-aktif-hiperemi,Aktif hiperemi,Aktif hiperemi | active hyperemia | fonksiyonel hiperemi,Fizyoloji / kardiyovasküler,Doku perfüzyonu,P1,Bir dokunun metabolik aktivitesi arttığında kan akımının buna eşlik ederek artmasıdır.,"Kas egzersizi, beyin aktivitesi veya sindirim gibi durumlarda lokal metabolitler arteriolleri genişletir. Bu, oksijen ve besin sunumunu talebe göre artırır.",Aktif doku daha fazla metabolit üretir; bu metabolitler kan akımını artırır.,Reaktif hiperemi geçici iskemi sonrası kan akımı artışıdır; aktif hiperemi artmış metabolik aktiviteye eşlik eder.,Lokal metabolik vazodilatasyon | Adenozin | Doku hipoksisi,6,"[Physiology Case v174-new-097-egzersizde-bolgesel-kan-akimi-artisi] diagnosis.explanation: Egzersizde kas metabolizması arttığında direnç damarlarının çevresindeki kimyasal ortam değişir ve arteriol düz kası gevşemeye eğilim gösterir. Arterioler direnç azaldığı için aynı sistemik basınç düzeyinde çalışan kasın kan akımı artar. Bu aktif hiperemi yanıtı, oksijen ve substrat sunumunu dokunun artmış metabolik gereksinimiyle eşleştirir. || [Physiology Case v174-new-097-egzersizde-bolgesel-kan-akimi-artisi] diagnosis.answerFeedback.summary: Egzersizde kas metabolizması arttığında direnç damarlarının çevresindeki kimyasal ortam değişir ve arteriol düz kası gevşemeye eğilim gösterir. Arterioler direnç azaldığı için aynı sistemik basınç düzeyinde çalışan kasın kan akımı artar. Bu aktif hiperemi yanıtı, oksijen ve substrat sunumunu dokunun artmış metabolik gereksinimiyle eşleştirir.",92,low,low
v397-physiology-aortik-ark-baroreseptorleri,Aortik ark baroreseptörleri,Aortik ark baroreseptörleri | aortic arch baroreceptors | aort kavsi baroreseptörleri,Fizyoloji / kardiyovasküler,Baroreseptör bölgesi,P1,Aort arkında arter basıncı gerilimini algılayan baroreseptörlerdir.,Aortik ark baroreseptörlerinden gelen afferentler vagus siniriyle medullaya ulaşır. Kan basıncı artışında sempatik çıkışı azaltan tampon yanıtı destekler.,Aortik ark baroreseptörü afferenti vagus siniriyle taşınır.,Karotis sinüsü afferenti glossofaringeal sinirdir; aortik ark afferenti vagustur.,Baroreseptör refleksi | Vagus siniri | Sempatik tonus | Karotis sinüsü,6,"[Physiology Case v176-new-111-akut-kan-kaybi-sonrasi-tasikardi] diagnosis.explanation: Akut kan kaybında venöz dönüş, atım hacmi ve arteriyel basınç düşer. Karotis sinüs ve aortik ark baroreseptörlerinin gerilimi azaldığı için ateşleme frekansı azalır. Medüller kardiyovasküler merkezler bunun sonucunda sempatik çıkışı artırıp vagal etkiyi azaltır; kalp hızı, kontraktilite ve sistemik damar direnci yükselerek basınç desteklenir. || [Physiology Case v176-new-111-akut-kan-kaybi-sonrasi-tasikardi] diagnosis.answerFeedback.summary: Akut kan kaybında venöz dönüş, atım hacmi ve arteriyel basınç düşer. Karotis sinüs ve aortik ark baroreseptörlerinin gerilimi azaldığı için ateşleme frekansı azalır. Medüller kardiyovasküler merkezler bunun sonucunda sempatik çıkışı artırıp vagal etkiyi azaltır; kalp hızı, kontraktilite ve sistemik damar direnci yükselerek basınç desteklenir.",92,low,low
v397-physiology-efektif-refrakter-periyot,Efektif refrakter periyot,Efektif refrakter periyot | effective refractory period | ERP | etkin refrakter dönem,Fizyoloji / kardiyovasküler,Kardiyak elektrofizyoloji,P1,Yeni bir iletilebilir aksiyon potansiyelinin oluşturulamadığı fonksiyonel refrakter dönemdir.,Kardiyak dokuda refrakter dönem aritmi re-entry döngülerini sınırlar. AV düğümde ERP uzaması iletim yavaşlaması ve taşikardi kontrolü açısından önemlidir.,Re-entry aritmilerde refrakter dönem ve iletim hızı birlikte düşünülür.,Mutlak refrakter dönem iyon kanal inaktivasyonuna; efektif refrakter periyot klinik iletilebilir yanıt kavramına odaklanır.,Aksiyon potansiyeli | AV düğümü | Re-entry | L tipi kalsiyum kanalı,453,[Physiology Case v175-new-103-hipotansiyon-ve-hiperpigmentasyon] id: v175-new-103-hipotansiyon-ve-hiperpigmentasyon || [Physiology Case v175-new-103-hipotansiyon-ve-hiperpigmentasyon] title: Hipotansiyon ve hiperpigmentasyon,92,low,low
v397-physiology-faz-4-depolarizasyon,Faz 4 depolarizasyon,Faz 4 depolarizasyon | phase 4 depolarization | spontan diyastolik depolarizasyon | pacemaker faz 4,Fizyoloji / kardiyovasküler,Pacemaker fizyolojisi,P1,Pacemaker hücrelerinde eşik potansiyele doğru yavaş ve spontan membran depolarizasyonudur.,Faz 4 eğimi arttıkça eşik potansiyele daha hızlı ulaşılır ve kalp hızı artar. Sempatik uyarı eğimi artırırken vagal uyarı azaltır.,Kalp hızını belirleyen pacemaker değişkeni faz 4 depolarizasyon eğimidir.,Ventrikül kas hücresinde faz 4 stabildir; pacemaker hücresinde yavaşça yükselir.,Funny current | SA düğümü aksiyon potansiyeli | Sempatik uyarı | Vagal tonus,0,,92,low,low
v397-physiology-funny-current,Funny current,Funny current | If akımı | funny akımı | HCN kanalı,Fizyoloji / kardiyovasküler,Pacemaker akımı,P1,Pacemaker hücrelerinde hiperpolarizasyonla aktive olan ve faz 4 depolarizasyona katkı veren inward akımdır.,Funny current SA düğümünün spontan yavaş depolarizasyonunu başlatır. Sempatik uyarı eğimi artırarak kalp hızını yükseltir; parasempatik uyarı eğimi azaltır.,Pacemaker hızını belirleyen ana nokta faz 4 depolarizasyon eğimidir.,Ventrikül miyositlerinde stabil istirahat potansiyeli vardır; pacemaker hücreleri kendiliğinden depolarize olur.,SA düğümü aksiyon potansiyeli | Faz 4 depolarizasyon | Sempatik uyarı | Vagal tonus,24,[Physiology Case ai-spot-vakasiz-secki-144] options[2].text: If akımı ile yavaş diyastolik depolarizasyon || [Physiology Case ai-spot-vakasiz-secki-144] explanation: Doğru cevap A’dır. Ventrikül kas hücresinde aksiyon potansiyelinin faz 0’ı hızlı depolarizasyon fazıdır ve hızlı voltaj kapılı sodyum kanallarının açılmasıyla gelişir. Bu fazın eğimi iletim hızını etkiler; sınıf I antiaritmikler bu kanalları etkileyebilir. Faz 2 plato döneminde L-tipi kalsiyum girişi ve potasyum çıkışı dengelenir. Faz 3 repolarizasyon K+ çıkışı ile gerçekleşir. If akımı ise…,92,low,low
v397-physiology-kontraktilite,Kontraktilite,Kontraktilite | inotropi | myocardial contractility | miyokard kontraktilitesi,Fizyoloji / kardiyovasküler,Pompa fonksiyonu,P1,"Kalp kasının preload ve afterload dışında, intrinsik kasılma gücünü ifade eder.",Sempatik β1 uyarı ve hücre içi Ca²⁺ artışı kontraktiliteyi yükseltir; aynı preload düzeyinde daha yüksek atım hacmi oluşabilir.,Kontraktilite artışı Frank-Starling preload etkisinden bağımsız olarak pompa gücünü artırır.,"Preload lif uzunluğu/dolum, kontraktilite kasılma gücü değişkenidir.",Atım hacmi | β1 adrenerjik uyarı | Kalsiyum girişi | Ejeksiyon fraksiyonu,28,"[Physiology Case v176-new-111-akut-kan-kaybi-sonrasi-tasikardi] clinicalFocus: Akut hacim kaybında arteriyel barorefleksin kalp hızı, kontraktilite ve damar direnci üzerindeki erken kompanzatuvar etkisini yorumlama. || [Physiology Case v176-new-111-akut-kan-kaybi-sonrasi-tasikardi] diagnosis.explanation: Akut kan kaybında venöz dönüş, atım hacmi ve arteriyel basınç düşer. Karotis sinüs ve aortik ark baroreseptörlerinin gerilimi azaldığı için ateşleme frekansı azalır. Medüller kardiyovasküler merkezler bunun sonucunda sempatik çıkışı artırıp vagal etkiyi azaltır; kalp hızı, kontraktilite ve sistemik damar direnci yükselerek basınç desteklenir.",92,low,low
v397-physiology-l-tipi-kalsiyum-kanali,L tipi kalsiyum kanalı,L tipi kalsiyum kanalı | L-type calcium channel | L tipi Ca kanalı | L tipi Ca²⁺ kanalı,Fizyoloji / kardiyovasküler,Kardiyak elektrofizyoloji,P1,Uzun süre açık kalabilen voltaj bağımlı Ca²⁺ kanalıdır; nodal faz 0 ve miyosit plateau fazında önemlidir.,SA/AV düğümünde depolarizasyon hızı L tipi Ca²⁺ girişiyle belirlenir. Ventrikül miyositinde plateau fazı Ca²⁺ girişi ve K⁺ çıkışı dengesiyle oluşur.,AV düğüm iletimini yavaşlatan ilaçlar çoğunlukla L tipi Ca²⁺ kanal etkisi üzerinden çalışır.,Hızlı Na⁺ kanalı ventrikül faz 0’da; L tipi Ca²⁺ kanalı nodal faz 0 ve plateau’da öne çıkar.,SA düğümü aksiyon potansiyeli | AV düğümü | Plateau fazı | Faz 4 depolarizasyon,0,,92,low,low
v397-physiology-ortalama-arter-basinci,Ortalama arter basıncı,Ortalama arter basıncı | MAP | mean arterial pressure | ortalama arterial basınç,Fizyoloji / kardiyovasküler,Perfüzyon basıncı,P1,Bir kardiyak siklus boyunca dokulara kan akımını sürdüren ortalama arteriyel basınçtır.,"MAP yaklaşık olarak kalp debisi ile total periferik direncin çarpımıyla ilişkilidir. Diyastol süresi uzun olduğu için basit ortalama değil, diyastolik basınca daha yakındır.","Doku perfüzyonu için MAP, sistolik basınçtan daha bütüncül göstergedir.",Nabız basıncı sistolik-diyastolik farktır; MAP farklı bir hemodinamik parametredir.,Kalp debisi | Total periferik direnç | Nabız basıncı | Baroreseptör refleksi,0,,92,low,low
v397-physiology-sempatik-venokonstriksiyon,Sempatik venokonstriksiyon,Sempatik venokonstriksiyon | venokonstriksiyon | sympathetic venoconstriction | venöz tonus artışı,Fizyoloji / kardiyovasküler,Venöz dönüş,P1,Sempatik aktiviteyle venöz kapasitenin azalması ve venöz dönüşün artmasıdır.,"Venler kapasitans damarlarıdır; sempatik venokonstriksiyon kanı santral dolaşıma iter, preload ve kalp debisini destekler. Kan kaybı sonrası erken kompanzasyonun önemli parçasıdır.",Kan kaybında sempatik venokonstriksiyon venöz dönüşü ve preload’u korumaya çalışır.,Arteriyoler vazokonstriksiyon TPR’yi; venokonstriksiyon venöz dönüş/preload’u daha çok etkiler.,Venöz dönüş | Preload | Baroreseptör refleksi | Kan kaybı kompanzasyonu,1,"[Physiology Hap Card Override tus-pearl-physiology-194-extra] explanation: Gerilme azaldığında baroreseptör afferent ateşleme hızı düşer. Bu azalma medullada vazomotor merkezin sempatik çıkışını serbestleştirir; arteriol vazokonstriksiyonu, venokonstriksiyon, taşikardi ve kontraktilite artışıyla basınç yükseltilir. || [Physiology Hap Card Override tus-pearl-physiology-194-extra] explanation: Gerilme azaldığında baroreseptör afferent ateşleme hızı düşer. Bu azalma medullada vazomotor merkezin sempatik çıkışını serbestleştirir; arteriol vazokonstriksiyonu, venokonstriksiyon, taşikardi ve kontraktilite artışıyla basınç yükseltilir.",92,low,low
v397-physiology-venoz-donus,Venöz dönüş,Venöz dönüş | venous return | sağ atriyuma venöz dönüş,Fizyoloji / kardiyovasküler,Dolaşım dengesi,P1,Sistemik venlerden sağ atriyuma dönen kan akımıdır.,"Kararlı durumda venöz dönüş kalp debisine eşittir. Kan hacmi, venöz tonus, iskelet kas pompası ve intratorasik basınç bu dönüşü etkiler.",Uzun vadede kalp debisi venöz dönüşle sınırlanır.,Preload venöz dönüşten etkilenir ama preload tek başına venöz dönüşün aynısı değildir.,Preload | Kalp debisi | Sempatik venokonstriksiyon | İskelet kas pompası,168,"[Physiology Case v176-new-111-akut-kan-kaybi-sonrasi-tasikardi] investigations[1].summary: Hacim kaybı sonrası hemodinamik ölçümler, arteriyel basınç ve venöz dönüş azalmasının dolaşım üzerindeki erken etkilerini değerlendirmeyi sağlar. || [Physiology Case v176-new-111-akut-kan-kaybi-sonrasi-tasikardi] investigations[1].clinicalMeaning: Hacim kaybı sonrası hemodinamik ölçümler, arteriyel basınç ve venöz dönüş azalmasının dolaşım üzerindeki erken etkilerini değerlendirmeyi sağlar.",92,low,low
v397-physiology-esik-potansiyeli,Eşik potansiyeli,Eşik potansiyeli | threshold potential | aksiyon potansiyeli eşiği,Fizyoloji / nörofizyoloji,Membran uyarılabilirliği,P1,Voltaja duyarlı kanalların yeterli açılmasını sağlayarak aksiyon potansiyelini başlatan membran potansiyeli düzeyidir.,Eşik aşıldığında Na⁺ kanal açılımı pozitif feedback oluşturur ve aksiyon potansiyeli başlar. Eşik altı uyarılar lokal/dereceli kalabilir.,Aksiyon potansiyeli için kritik nokta eşik potansiyelinin aşılmasıdır.,"Uyarı şiddeti aksiyon potansiyeli genliğini değil, frekansını artırır.",Aksiyon potansiyeli | Depolarizasyon | Refrakter periyot,0,,92,low,low
v397-physiology-refrakter-periyot,Refrakter periyot,Refrakter periyot | refractory period | refrakter dönem,Fizyoloji / nörofizyoloji,Uyarılabilirlik,P1,Aksiyon potansiyelinden sonra hücrenin yeni uyarıya yanıt verme kapasitesinin azaldığı dönemdir.,Mutlak refrakter dönemde yeni aksiyon potansiyeli oluşmaz; relatif dönemde daha güçlü uyarı gerekir. Bu dönem tek yönlü iletim ve maksimum frekansı sınırlar.,Mutlak refrakter dönem Na⁺ kanal inaktivasyonu nedeniyle yeni AP oluşmasını engeller.,Relatif refrakter dönemde yanıt mümkündür ama daha yüksek eşik gerekir.,Aksiyon potansiyeli | Na⁺ kanalı inaktivasyonu | Relatif refrakter dönem,0,,92,low,low
v397-physiology-istirahat-membran-potansiyeli,İstirahat membran potansiyeli,İstirahat membran potansiyeli | resting membrane potential | dinlenim membran potansiyeli,Fizyoloji / nörofizyoloji,Membran potansiyeli,P1,Uyarılmamış hücre zarında iç ve dış ortam arasındaki elektriksel potansiyel farkıdır.,"İstirahat potansiyeli çoğunlukla K⁺ geçirgenliği, Na⁺/K⁺ ATPaz ve iyon gradyentleriyle belirlenir. Nöronun uyarılabilirlik eşiğine ne kadar yakın olduğunu gösterir.",İstirahat potansiyeli daha az negatif olursa hücre eşiğe yaklaşır ve uyarılabilirlik artabilir.,Eşik potansiyeli aksiyon potansiyelini başlatan düzeydir; istirahat potansiyeli başlangıç dengesidir.,Na⁺/K⁺ ATPaz | Eşik potansiyeli | Depolarizasyon | K⁺ geçirgenliği,0,,92,low,low
v397-physiology-alfa-motor-noron,Alfa motor nöron,Alfa motor nöron | alpha motor neuron | α motor nöron | alt motor nöron alfa,Fizyoloji / nöromüsküler,Motor çıkış,P1,Ekstrafüzal kas liflerini innerve ederek kas kasılmasını oluşturan motor nörondur.,Gerilme refleksinde Ia afferent lifler alfa motor nöronu doğrudan uyarır. Alfa motor nöron aktivitesi artarsa ilgili kas kasılır.,Derin tendon refleksinin efferent kolu alfa motor nörondur.,Gama motor nöron intrafüzal lifleri ayarlar; alfa motor nöron ekstrafüzal kası kasar.,Kas iğciği | Ia afferent lif | Gama motor nöron | Ekstrafüzal lif,50,[Physiology Case ai-spot-vakasiz-secki-204] options[0].text: Kas gerilimini tendon düzeyinde algılar ve alfa motor nöronu doğrudan uyararak kasılmayı artırır || [Physiology Case ai-spot-vakasiz-secki-204] coreKnowledge: Kas iğciği kas uzunluğu ve gerilme hızını algılayan intrafuzal liflerden oluşur. Ia afferentleri spinal korda giderek aynı kasın alfa motor nöronunu monosaptik olarak uyarır ve gerilme refleksini oluşturur.,92,low,low
v397-physiology-gama-motor-noron,Gama motor nöron,Gama motor nöron | gamma motor neuron | γ motor nöron,Fizyoloji / nöromüsküler,Kas iğciği ayarı,P1,İntrafüzal kas liflerini innerve ederek kas iğciğinin gerilmeye duyarlılığını ayarlayan motor nörondur.,Gama motor nöron aktivitesi kas kısalırken kas iğciği duyarlılığını korur. Böylece propriyoseptif geri bildirim hareket boyunca devam eder.,Gama motor nöron kas iğciğinin hassasiyet ayarıdır.,Alfa motor nöron ekstrafüzal kası kasar; gama motor nöron intrafüzal lifleri ayarlar.,Kas iğciği | İntrafüzal lif | Alfa motor nöron,0,,92,low,low
v397-physiology-golgi-tendon-organi,Golgi tendon organı,Golgi tendon organı | Golgi tendon organ | GTO | tendon organı,Fizyoloji / nöromüsküler,Tendon gerimi,P1,Tendondaki gerilimi algılayan ve kas kuvveti hakkında bilgi veren proprioseptif reseptördür.,Golgi tendon organı Ib afferentlerle omuriliğe bilgi taşır ve aşırı gerilimde ilgili kasın aktivitesini azaltan koruyucu devreleri destekler.,Kas iğciği uzunluk; Golgi tendon organı gerim/kuvvet algılar.,Kas iğciği Ia afferent ile gerilme refleksini; Golgi tendon organı Ib afferent ile gerilim bilgisini taşır.,Ib afferent lif | Kas iğciği | Propriyosepsiyon,130,"[Physiology Case ai-spot-vakasiz-secki-204] explanation: Doğru cevap A’dır. Kas iğciği, iskelet kası içinde yer alan ve kas uzunluğundaki değişiklikleri algılayan proprioseptif reseptördür. Ani gerilme Ia afferentleriyle spinal korda iletilir; aynı kasın alfa motor nöronu uyarılır ve kas kasılarak gerilmeye karşı koyar. Patellar refleks bu mekanizmanın klasik örneğidir. Golgi tendon organı ise tendon düzeyinde kas gerilimini algılar ve aşırı geri… || [Physiology Case ai-spot-vakasiz-secki-204] answerAnalysisIntro: Bu soru kas iğciği ile golgi tendon organını ayırmayı ölçer. Kas iğciği uzunluk, golgi tendon organı gerilim bilgisini taşır.",92,low,low
v397-physiology-a-afferent-lif,Ia afferent lif,Ia afferent lif | Ia afferent fiber | grup Ia lifi | Ia duyu lifi,Fizyoloji / nöromüsküler,Refleks yayı,P1,Kas iğciğinden omuriliğe kas gerilme bilgisini taşıyan hızlı duyu lifidir.,Ia afferent lif dorsal kökten girer ve aynı kasın alfa motor nöronuyla monosinaptik bağlantı kurar. Bu yapı patella refleksi gibi derin tendon reflekslerinin temelidir.,Gerilme refleksinin afferent kolu Ia lifidir.,Golgi tendon organının ana afferenti Ib lifidir; kas iğciği Ia ile sorulur.,Kas iğciği | Alfa motor nöron | Monosinaptik gerilme refleksi,0,,92,low,low
v397-physiology-resiprokal-inhibisyon,Resiprokal inhibisyon,Resiprokal inhibisyon | reciprocal inhibition | karşılıklı inhibisyon,Fizyoloji / nöromüsküler,Refleks koordinasyonu,P1,Bir kas kasılırken antagonist kasın spinal interneuronlar aracılığıyla inhibe edilmesidir.,Gerilme refleksinde agonist kas kasılırken antagonist kasın gevşemesi hareketin akıcı olmasını sağlar. Bu mekanizma spinal refleks entegrasyonunun temel örneğidir.,Agonist kas aktivasyonu sırasında antagonist kasın inhibisyonu resiprokal inhibisyondur.,Presinaptik inhibisyon sinyal girişini azaltabilir; resiprokal inhibisyon antagonist motor havuzu baskılar.,Monosinaptik gerilme refleksi | İnterneuron | Alfa motor nöron | Antagonist kas,0,,92,low,low
v397-physiology-detrusor-kasi,Detrusor kası,Detrusor kası | detrusor muscle | mesane detrusoru,Fizyoloji / otonom,Mesane kası,P1,Mesane duvarındaki düz kastır ve kasıldığında idrarın boşaltılmasını sağlar.,Parasempatik pelvik sinir aktivitesi detrusor kasılmasını artırır. Depolama fazında sempatik etkiler ve somatik dış sfinkter kontrolü baskındır.,Parasempatik aktivasyon detrusor kasını kasar ve miksiyonu kolaylaştırır.,"İç sfinkter düz kas, dış sfinkter çizgili kas/somatik kontrol altındadır.",Mesane boşaltma refleksi | Parasempatik pelvik sinir | İç üretral sfinkter,62,"[Physiology Case v195-new-340-mesane-bosaltma-refleksi] learningTarget: Detrusor kasılmasının S2–S4 pelvik parasempatik lifler ve muskarinik reseptörler üzerinden, dış sfinkter gevşemesinin ise pudendal aktivitenin azalmasıyla gerçekleştiğini açıklama. || [Physiology Case v195-new-340-mesane-bosaltma-refleksi] stem: Sağlıklı bir gönüllüde mesane dolumu ve boşaltma fazları ürodinamik olarak incelenir. Dolum sırasında kişi mesane dolgunluğunu hisseder ancak idrar kaçırmaz. İşeme izni verildiğinde akım başlar ve mesane büyük ölçüde boşalır. Amaç, boşaltma fazında detrusor kasılmasını sağlayan temel efferent yolu diğer depolama yollarından ayırmaktır.",92,low,low
v397-physiology-mesane-bosaltma-refleksi,Mesane boşaltma refleksi,Mesane boşaltma refleksi | miktürisyon refleksi | micturition reflex | voiding reflex,Fizyoloji / otonom,Üriner refleks,P1,Mesane doluluğunun parasempatik aktivasyonla detrusor kasılmasına ve sfinkter gevşemesine yol açtığı refleks süreçtir.,Mesane gerilimi afferentlerle sakral merkeze taşınır; parasempatik çıkış detrusoru kasar ve iç sfinkter gevşer. Üst merkezler bu refleksi sosyal olarak uygun zamana kadar baskılayabilir.,Miktürisyon refleksinde parasempatik sistem detrusoru kasar.,Sempatik sistem depolamayı destekler; parasempatik sistem boşaltmayı başlatır.,Detrusor kası | Parasempatik pelvik sinir | İç üretral sfinkter | Sakral merkez,2,[Physiology Case v195-new-340-mesane-bosaltma-refleksi] title: Mesane boşaltma refleksi || [Physiology Case v195-new-340-mesane-bosaltma-refleksi] title: Mesane boşaltma refleksi,92,low,low
v397-physiology-parasempatik-pelvik-sinir,Parasempatik pelvik sinir,Parasempatik pelvik sinir | pelvik splanknik sinir | pelvic splanchnic nerve | S2-S4 parasempatik,Fizyoloji / otonom,Mesane ve kolon kontrolü,P1,S2-S4 kaynaklı parasempatik liflerle mesane boşalması ve distal kolon fonksiyonlarına katkı veren sinirdir.,Pelvik parasempatik çıkış detrusor kasılmasını artırır ve miksiyonu başlatır. Bu nedenle sakral omurilik düzeyi mesane refleksi açısından kritiktir.,Miksiyon parasempatik S2-S4 pelvik sinirlerle ilişkilidir.,Sempatik hipogastrik sinir depolamayı; pelvik parasempatik sinir boşaltmayı destekler.,Mesane boşaltma refleksi | Detrusor kası | Sakral merkez,0,,92,low,low
v397-physiology-afferent-arteriyol,Afferent arteriyol,Afferent arteriyol | afferent arteriole | afferent arteriol | getirici arteriyol,Fizyoloji / renal,Glomerüler hemodinami,P1,Glomerüle kan getiren ve glomerüler kapiller basıncı belirleyen arteriyoldür.,Afferent konstriksiyon glomerüle giren akımı ve kapiller basıncı azaltarak GFR’yi düşürür. Makula densa yüksek NaCl algıladığında bu yol kullanılır.,Afferent daralırsa GFR azalır.,Efferent arteriyol glomerülden çıkan damardır; orta düzey daralması GFR’yi koruyabilir/artırabilir.,Tübüloglomerüler geri bildirim | GFR | Efferent arteriyol | Makula densa,185,[Physiology Case v183-new-184-glomeruler-filtrasyonun-lokal-kontrolu] learningTarget: Yüksek distal NaCl yükünün ATP/adenozin aracılığıyla afferent arteriyol tonusunu artırıp glomerüler kapiller basınç ve GFR’yi azalttığını açıklama. || [Physiology Case v183-new-184-glomeruler-filtrasyonun-lokal-kontrolu] diagnosis.correct: ATP/adenozin aracılı afferent arteriyol vazokonstriksiyonu ve GFR azalması,92,low,low
v397-physiology-beta-interkale-hucre,Beta interkale hücre,Beta interkale hücre | β-interkale hücre | beta-intercalated cell | B intercalated cell,Fizyoloji / renal,Asit-baz hücresi,P1,Toplayıcı kanalda bikarbonat sekresyonu ve H⁺ geri emilimiyle alkali yük atımına katkı veren hücre tipidir.,Beta interkale hücreler özellikle alkaloz durumlarında bikarbonatın lümene verilmesiyle pH dengesine katkı sağlar. Alfa interkale hücrenin asit atıcı rolüyle zıt yönde düşünülür.,Alfa interkale hücre H⁺ atar; beta interkale hücre HCO₃⁻ atabilir.,"Principal hücre elektrolit/su dengesinde, interkale hücreler asit-baz dengesinde öne çıkar.",Alfa interkale hücre | HCO₃⁻ | Toplayıcı kanal | Asit-baz dengesi,6,[Physiology TUS Pearl Card Alfa interkale hücre] trap: Beta interkale hücreler daha çok bikarbonat sekresyonu ile alkaloz yanıtında önemlidir. || [Physiology Hap Card Override tus-pearl-physiology-197-spot] tusTip: Alfa interkale hücre asit atar; beta interkale hücre alkalozda bikarbonat atılımıyla öne çıkar.,92,low,low
v397-physiology-distal-tubul,Distal tübül,Distal tübül | distal convoluted tubule | distal kıvrımlı tübül | DCT,Fizyoloji / renal,Nefron segmenti,P1,"Macula densa sonrası ince ayar yapan, NaCl ve kalsiyum dengesinde önemli nefron segmentidir.",Distal tübül tiazid duyarlı NaCl taşıyıcısı ve PTH’ye duyarlı kalsiyum geri emilimi ile öne çıkar. Sonraki toplayıcı kanal hormon etkileriyle daha ince düzenleme yapar.,PTH’nin kalsiyum geri emilim etkisi distal tübülde belirgindir.,Proksimal tübül kitlesel geri emilim yapar; distal tübül daha seçici ince ayar segmentidir.,PTH böbrek etkisi | Kalsiyum geri emilimi | Makula densa | Toplayıcı kanal,178,"[Physiology Case v172-new-072-direncli-hipertansiyon-ve-kas-gucsuzlugu] diagnosis.options[2]: Distal tübülde Na-Cl kotransporter aktivitesinin azalmasıyla sodyum kaybının artması || [Physiology Case v183-new-184-glomeruler-filtrasyonun-lokal-kontrolu] chiefComplaint: Renal fizyoloji pratiğinde, distal tübüle ulaşan NaCl yükü artırıldığında aynı nefronda gelişen lokal hemodinamik yanıt tartışılıyor.",92,low,low
v397-physiology-efferent-arteriyol,Efferent arteriyol,Efferent arteriyol | efferent arteriole | efferent arteriol | götürücü arteriyol,Fizyoloji / renal,Glomerüler hemodinami,P1,Glomerülden kanı çıkaran ve filtrasyon basıncını etkileyen arteriyoldür.,Efferent konstriksiyon glomerüler kapiller basıncı artırarak GFR’yi destekleyebilir; ancak aşırı konstriksiyon renal plazma akımını düşürür. Filtrasyon fraksiyonu genellikle artar.,Anjiyotensin II özellikle efferent arteriyol tonusunu artırarak düşük perfüzyonda GFR’yi korur.,Afferent konstriksiyon GFR’yi düşürür; efferent etki doza/şiddete bağlı yorumlanır.,Anjiyotensin II | Filtrasyon fraksiyonu | GFR | RPF,90,"[Physiology Case v183-new-184-glomeruler-filtrasyonun-lokal-kontrolu] stem: Deney düzeneğinde sistemik arter basıncı ve plazma osmolalitesi sabit tutulurken distal tübül akımına ulaşan NaCl miktarı kademeli olarak artırılmıştır. Glomerüler inflamasyon, obstrüksiyon veya sistemik hipovolemiye ait ek veri bulunmamaktadır. Amaç, makula densa bölgesindeki solüt yükü değişikliğinin afferent-efferent arteriyol tonusu ve tek nefron GFR üzerine lokal etk… || [Physiology Case v183-new-184-glomeruler-filtrasyonun-lokal-kontrolu] patientIntro.historySummary: Deney düzeneğinde sistemik arter basıncı ve plazma osmolalitesi sabit tutulurken distal tübül akımına ulaşan NaCl miktarı kademeli olarak artırılmıştır. Glomerüler inflamasyon, obstrüksiyon veya sistemik hipovolemiye ait ek veri bulunmamaktadır. Amaç, makula densa bölgesindeki solüt yükü değişikliğinin afferent-efferent arteriyol tonusu ve tek nefro…",92,low,low
