id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceExamples
v407-small-clerkships-perde-tarzi-gorme-kaybi,Perde tarzı görme kaybı,Perde tarzı görme kaybı; perde inmesi; karanlık perde,Küçük Stajlar,Göz Hastalıkları - retina alarm bulgusu,P0,Görme alanına karanlık perde inmesi şeklinde tariflenen alan kaybıdır.,Retina dekolmanında ayrılan retina alanı periferden merkeze ilerleyen perde hissi yapabilir. Makula tutulmadan müdahale görme prognozu açısından kritiktir.,Periferden merkeze ilerleyen perde hissi retina dekolmanı için klasik alarmdır.,Optik nöritte göz hareketiyle ağrı ve santral görme kaybı daha tipiktir.,Retina dekolmanı; Fotopsi; Uçuşma,23,"Haleler, kornea ödemi, orta dilate pupil ve yüksek GİB birlikteliğini; retina dekolmanı, optik nörit, anterior üveit ve keratit tablolarından ayırabilme. || Sol göz ağrısı akşam saatlerinde loş bir odada başladı ve yaklaşık iki saat içinde hızla şiddetlendi. Hasta ışıkların etrafında renkli halkalar gördüğünü, görmesinin buğulandığını ve bulantısının arttığını söyler. Daha önce kısa süren benzer bulanık görme atakları olmuş ancak kendiliğinden düzeldiği için başvurmamıştır. Göz travması, kontakt lens kullanımı, pürülan akıntı, uçuşma-perde inmesi veya göz hareketiyle belirgin ağrı tariflemez. Sistemik enfeksiyon bulgusu yoktur. || Travma, kontakt lens kullanımı, pürülan akıntı ve ağrısız perde inmesi öyküsünün olmaması ayırıcı tanıyı daraltır."
v407-small-clerkships-regmatojen-retina-dekolmani,Regmatojen retina dekolmanı,Regmatojen retina dekolmanı; rhegmatogenous retinal detachment; yırtıklı retina dekolmanı,Küçük Stajlar,Göz Hastalıkları - retina hastalığı,P1,Retina yırtığı üzerinden sıvının nörosensoriyel retina altına geçmesiyle oluşan dekolmandır.,"Yüksek miyopi, travma veya vitreus çekintisi sonrası gelişebilir. Fotopsi, uçuşma ve perde tarzı görme kaybı tipiktir.",Retina yırtığı + subretinal sıvı = regmatojen dekolman.,Traksiyonel dekolman proliferatif diyabetik retinopati gibi çekinti durumlarında; eksüdatif dekolman inflamasyon/tümör gibi sızıntılarda görülür.,Retina dekolmanı; Fotopsi; Perde tarzı görme kaybı,8,"Haleler, kornea ödemi, orta dilate pupil ve yüksek GİB birlikteliğini; retina dekolmanı, optik nörit, anterior üveit ve keratit tablolarından ayırabilme. || Retina dekolmanı || Tek taraflı ani şiddetli göz ağrısı, haleler, bulantı, kornea ödemi, orta dilate ışığa yanıtsız pupil ve semptomatik gözde çok yüksek göz içi basıncı akut açı kapanması glokomunu en iyi açıklar. Retina dekolmanı genellikle ağrısız perde/ışık çakmasıyla, optik nörit göz hareketi ağrısı ve renk solmasıyla, keratit ise epitel defekti-kontakt lens öyküsüyle ayrılır."
v407-small-clerkships-hutchinson-bulgusu,Hutchinson bulgusu,Hutchinson bulgusu; burun ucu tutulumu,Küçük Stajlar,Göz Hastalıkları/KBB - zoster alarmı,P0,Herpes zoster döküntüsünün burun ucu veya nazosiliyer dal alanını tutmasıdır.,"V1 dermatomu ve burun ucu tutulumu oküler tutulum riskini artırır. Göz ağrısı, kızarıklık veya fotofobi varsa antiviral tedavi ve acil göz değerlendirmesi gerekir.",Burun ucu vezikülü + göz bulgusu = herpes zoster oftalmikus riski.,Basit kontakt dermatitte dermatomal vezikül ve nöropatik ağrı paterni beklenmez.,Herpes zoster oftalmikus; V1 dermatomu; Keratit,35,"Travma, pürülan akıntı ve proptoz olmaması → keratit/endoftalmi/orbital süreç çeldiricilerini zayıflatır. || Keratit veya ciddi ön segment inflamasyonunda antimikrobiyal/antiinflamatuvar tedavi gerekebilir; ancak bu olguda pürülan akıntı, korneal ülser veya travma değil yüksek GİB ve pupil bozukluğu ön plandadır. Ertesi gün kontrol, akut optik sinir riskini geciktirir. || Haleler, kornea ödemi, orta dilate pupil ve yüksek GİB birlikteliğini; retina dekolmanı, optik nörit, anterior üveit ve keratit tablolarından ayırabilme."
v407-small-clerkships-v1-dermatomu,V1 dermatomu,V1 dermatomu; oftalmik dal dermatomu,Küçük Stajlar,Göz Hastalıkları/KBB - trigeminal dağılım,P1,"Trigeminal sinirin oftalmik dalının alın, üst göz kapağı ve burun kökü bölgesidir.",Herpes zoster oftalmikusta döküntü tek taraflı V1 dağılımında görülür. Burun ucu tutulumu nazosiliyer dalı düşündürerek oküler komplikasyon riskini artırır.,Tek taraflı alın vezikülleri V1 zoster dağılımını düşündürür.,Yaygın alerjik döküntü dermatom sınırına uymaz ve veziküler ağrılı patern tipik değildir.,Herpes zoster oftalmikus; Hutchinson bulgusu; Keratit,16,"Travma, pürülan akıntı ve proptoz olmaması → keratit/endoftalmi/orbital süreç çeldiricilerini zayıflatır. || Keratit veya ciddi ön segment inflamasyonunda antimikrobiyal/antiinflamatuvar tedavi gerekebilir; ancak bu olguda pürülan akıntı, korneal ülser veya travma değil yüksek GİB ve pupil bozukluğu ön plandadır. Ertesi gün kontrol, akut optik sinir riskini geciktirir. || Haleler, kornea ödemi, orta dilate pupil ve yüksek GİB birlikteliğini; retina dekolmanı, optik nörit, anterior üveit ve keratit tablolarından ayırabilme."
v407-small-clerkships-herpes-zoster-oftalmikus,Herpes zoster oftalmikus,Herpes zoster oftalmikus; zona oftalmikus; HZO,Küçük Stajlar,Göz Hastalıkları - viral acil,P0,Varicella-zoster virüsünün trigeminal oftalmik dal tutulumu ile göz riskli tablo oluşturmasıdır.,"V1 dermatomunda ağrılı veziküller, göz ağrısı, kızarıklık, fotofobi veya görme bulanıklığı varsa erken antiviral ve göz değerlendirmesi gerekir. Keratit ve üveit görmeyi tehdit edebilir.",V1 zoster + göz semptomu = acil oftalmoloji + antiviral.,HSV keratiti dendritik ülserle ayrılabilir; zoster oftalmikus dermatomal döküntüyle gelir.,V1 dermatomu; Hutchinson bulgusu; Keratit,18,"Travma, pürülan akıntı ve proptoz olmaması → keratit/endoftalmi/orbital süreç çeldiricilerini zayıflatır. || Keratit veya ciddi ön segment inflamasyonunda antimikrobiyal/antiinflamatuvar tedavi gerekebilir; ancak bu olguda pürülan akıntı, korneal ülser veya travma değil yüksek GİB ve pupil bozukluğu ön plandadır. Ertesi gün kontrol, akut optik sinir riskini geciktirir. || Haleler, kornea ödemi, orta dilate pupil ve yüksek GİB birlikteliğini; retina dekolmanı, optik nörit, anterior üveit ve keratit tablolarından ayırabilme."
v407-small-clerkships-orbital-sellulit,Orbital sellülit,Orbital sellülit; orbital cellulitis,Küçük Stajlar,Göz Hastalıkları/KBB - orbital enfeksiyon,P0,Orbita dokularının septum arkasında gelişen ciddi bakteriyel enfeksiyonudur.,"Sinüzit sonrası ateş, proptoz, ağrılı-kısıtlı göz hareketi, kemozis ve görme azalması orbital sellülit lehinedir. IV antibiyotik ve görüntüleme gerekir; apse veya görme riski varsa cerrahi drenaj gündeme gelir.",Proptoz + oftalmopleji + ateş = preseptal değil orbital sellülit düşün.,Preseptal sellülitte göz hareketleri ve görme genellikle korunur; orbital sellülitte ağrılı hareket ve proptoz vardır.,Proptoz; Oftalmopleji; Sinüzit,4,"Görme sağ gözde belirgin bulanıktır; göz hareketleri tamdır ve belirgin proptoz saptanmaz. || Travma, pürülan akıntı ve proptoz olmaması → keratit/endoftalmi/orbital süreç çeldiricilerini zayıflatır. || Sol göz palpasyonla serttir; kapakta lokalize nodül, belirgin pürülan akıntı veya proptoz saptanmaz."
v407-small-clerkships-proptoz,Proptoz,Proptoz,Küçük Stajlar,Göz Hastalıkları - orbital bulgu,P1,Göz küresinin öne doğru belirginleşmesidir.,"Orbital sellülit, tiroid oftalmopatisi veya orbital kitlelerde görülebilir. Ateş ve ağrılı göz hareketiyle birlikteyse enfeksiyöz orbital acil düşünülür.",Sinüzit sonrası proptoz orbital sellülit için alarmdır.,Periorbital ödem tek başına preseptal olabilir; proptoz orbitanın derin tutulduğunu düşündürür.,Orbital sellülit; Oftalmopleji; Kemozis,57,"Görme sağ gözde belirgin bulanıktır; göz hareketleri tamdır ve belirgin proptoz saptanmaz. || Travma, pürülan akıntı ve proptoz olmaması → keratit/endoftalmi/orbital süreç çeldiricilerini zayıflatır. || Sol göz palpasyonla serttir; kapakta lokalize nodül, belirgin pürülan akıntı veya proptoz saptanmaz."
v407-small-clerkships-oftalmopleji,Oftalmopleji,Oftalmopleji; göz hareket kısıtlılığı,Küçük Stajlar,Göz Hastalıkları - okülomotor bulgu,P1,Göz hareketlerinin kısıtlanması veya felcidir.,"Orbital sellülitte ağrılı ve kısıtlı göz hareketleri septum arkası tutulumu gösterir. Nörolojik nedenlerde pupil, kranial sinir ve beyin sapı bulguları ayırıcıdır.",Ateşli proptoz + oftalmopleji orbital sellülit lehinedir.,Preseptal sellülitte göz hareketleri korunur; orbital sellülitte oftalmopleji gelişebilir.,Orbital sellülit; Proptoz; Kemozis,21,"Görme sağ gözde belirgin bulanıktır; göz hareketleri tamdır ve belirgin proptoz saptanmaz. || Travma, pürülan akıntı ve proptoz olmaması → keratit/endoftalmi/orbital süreç çeldiricilerini zayıflatır. || Sol göz palpasyonla serttir; kapakta lokalize nodül, belirgin pürülan akıntı veya proptoz saptanmaz."
v407-small-clerkships-kemozis,Kemozis,Kemozis; konjonktival ödem,Küçük Stajlar,Göz Hastalıkları - konjonktival bulgu,P2,Konjonktivanın ödemlenip kabarık görünmesidir.,"Orbital sellülit, ağır alerji veya venöz konjesyon durumlarında görülebilir. Ateş, proptoz ve ağrılı göz hareketiyle birlikte orbital enfeksiyon lehinedir.","Kemozis tek başına değil, proptoz/oftalmoplejiyle birlikte tehlikeli hale gelir.","Alerjik konjonktivitte kaşıntı baskındır; orbital sellülitte ağrı, ateş ve hareket kısıtlılığı öne çıkar.",Orbital sellülit; Proptoz; Oftalmopleji,18,"Görme sağ gözde belirgin bulanıktır; göz hareketleri tamdır ve belirgin proptoz saptanmaz. || Travma, pürülan akıntı ve proptoz olmaması → keratit/endoftalmi/orbital süreç çeldiricilerini zayıflatır. || Sol göz palpasyonla serttir; kapakta lokalize nodül, belirgin pürülan akıntı veya proptoz saptanmaz."
v407-small-clerkships-cene-klodikasyonu,Çene klodikasyonu,Çene klodikasyonu; jaw claudication,Küçük Stajlar,Romatoloji/Göz acili - vaskülit bulgusu,P0,Çiğneme sırasında çene kaslarında iskemiye bağlı ağrı veya yorulmadır.,Dev hücreli arteritte temporal baş ağrısı ve görme semptomlarıyla birlikte çok değerli bir ipucudur. Görme kaybını önlemek için biyopsi beklemeden steroid başlanır.,Yaşlıda yeni temporal baş ağrısı + çene klodikasyonu = GCA acili.,Temporomandibular eklem ağrısı mekaniktir; GCA’da sistemik inflamasyon ve görme riski vardır.,Dev hücreli arterit; Temporal arter hassasiyeti; Yüksek ESR/CRP,38,"Yaşlı hastada yeni temporal baş ağrısı, çene klodikasyonu ve geçici görme belirtisinde dev hücreli arterit aciliyetini tanıma. || Görme tehdidi olan dev hücreli arterit şüphesinde biyopsi/USG doğrulaması planlanırken yüksek doz kortikosteroidin geciktirilmemesi gerektiğini açıklayabilme. || Yeni temporal baş ağrısı, skalp hassasiyeti, çene klodikasyonu, sistemik inflamasyon bulgusu ve geçici görme bulanıklığı vardır."
v407-small-clerkships-temporal-arter-hassasiyeti,Temporal arter hassasiyeti,Temporal arter hassasiyeti; şakak arter hassasiyeti,Küçük Stajlar,Romatoloji/Göz acili - vaskülit muayenesi,P1,Şakak bölgesindeki temporal arter üzerinde ağrı/hassasiyet saptanmasıdır.,"Dev hücreli arteritte yeni baş ağrısı, çene klodikasyonu ve geçici görme kaybıyla birlikte acil steroid gerektiren tabloyu destekler.",Temporal arter hassasiyeti + yaş >50 + görme semptomu = steroid gecikmesin.,Migren öyküsü genç yaşta tekrarlayıcıdır; GCA’da yaşlı hastada yeni baş ağrısı ve inflamasyon belirteci yüksekliği vardır.,Dev hücreli arterit; Çene klodikasyonu; Temporal arter biyopsisi,10,"Yaşlı hastada yeni temporal baş ağrısı, çene klodikasyonu ve geçici görme belirtisinde dev hücreli arterit aciliyetini tanıma. || Görme tehdidi olan dev hücreli arterit şüphesinde biyopsi/USG doğrulaması planlanırken yüksek doz kortikosteroidin geciktirilmemesi gerektiğini açıklayabilme. || Yeni temporal baş ağrısı, skalp hassasiyeti, çene klodikasyonu, sistemik inflamasyon bulgusu ve geçici görme bulanıklığı vardır."
v407-small-clerkships-temporal-arter-biyopsisi,Temporal arter biyopsisi,Temporal arter biyopsisi; arteria temporalis biyopsisi,Küçük Stajlar,Romatoloji/Göz acili - vaskülit tanısı,P1,Dev hücreli arteritte histolojik doğrulama için temporal arterden örnek alınmasıdır.,Tanıyı destekler fakat görme kaybı riski varsa tedaviyi geciktirmemelidir. Klinik şüphe yüksekse yüksek doz kortikosteroid başlandıktan sonra planlanabilir.,GCA’da biyopsi tanısal; steroid kararı görme riski nedeniyle acildir.,Migren veya gerilim baş ağrısında arter biyopsisi gerekmez.,Dev hücreli arterit; Çene klodikasyonu; Kortikosteroid tedavisi,3,"Yaşlı hastada yeni temporal baş ağrısı, çene klodikasyonu ve geçici görme belirtisinde dev hücreli arterit aciliyetini tanıma. || Görme tehdidi olan dev hücreli arterit şüphesinde biyopsi/USG doğrulaması planlanırken yüksek doz kortikosteroidin geciktirilmemesi gerektiğini açıklayabilme. || Yeni temporal baş ağrısı, skalp hassasiyeti, çene klodikasyonu, sistemik inflamasyon bulgusu ve geçici görme bulanıklığı vardır."
v407-small-clerkships-timpanik-membran-bombelesmesi,Timpanik membran bombeleşmesi,Timpanik membran bombeleşmesi; bombeleşmiş timpanik membran; zar bombeleşmesi,Küçük Stajlar,KBB - otoskopi bulgusu,P0,Kulak zarının orta kulak basıncı/sıvısı nedeniyle dışa doğru kabarmasıdır.,"Akut otitis media tanısında eritemden daha değerli otoskopik bulgudur. Ağrı, ateş ve orta kulak efüzyonu ile birlikte tanıyı destekler.","AOM tanısında kırmızılık değil, bombeleşmiş timpanik membran daha belirleyicidir.",Otitis eksternada dış kulak yolu ağrılıdır; timpanik membran bombeleşmesi orta kulak sürecini destekler.,Akut otitis media; Orta kulak efüzyonu; Pnömatik otoskopi,1,Otoskopide timpan membran kısmen seçilebilir ve belirgin orta kulak efüzyonu izlenmez. || Kısmen görülebiliyor; belirgin orta kulak efüzyonu yok || Akut otitis media kabul edip yalnız oral amoksisilin-klavulanat başlamak
v407-small-clerkships-orta-kulak-efuzyonu,Orta kulak efüzyonu,Orta kulak efüzyonu; middle ear effusion; orta kulakta sıvı,Küçük Stajlar,KBB - otolojik bulgu,P1,Orta kulak boşluğunda sıvı birikmesidir.,Akut otitis media ve efüzyonlu otitis media ayrımında klinik bağlam önemlidir. AOM’da ağrı/ateş ve inflamasyon eşlik eder; sadece efüzyon antibiyotik gerektirmeyebilir.,AOM için orta kulak efüzyonu + akut inflamasyon bulgusu gerekir.,Otitis eksternada problem dış kulak yolundadır; orta kulak efüzyonu beklenmez.,Akut otitis media; Timpanik membran bombeleşmesi; Pnömatik otoskopi,18,Otoskopide timpan membran kısmen seçilebilir ve belirgin orta kulak efüzyonu izlenmez. || Kısmen görülebiliyor; belirgin orta kulak efüzyonu yok || Akut otitis media kabul edip yalnız oral amoksisilin-klavulanat başlamak
v407-small-clerkships-pnomatik-otoskopi,Pnömatik otoskopi,Pnömatik otoskopi; pneumatik otoskopi,Küçük Stajlar,KBB - tanısal muayene,P1,Kulak zarının hareketliliğini hava basıncıyla değerlendiren otoskopi yöntemidir.,Orta kulak efüzyonunda timpanik membran hareketi azalır. AOM tanısında sıvı varlığını destekleyen pratik muayene tekniğidir.,Azalmış zar hareketliliği orta kulak efüzyonunu destekler.,Sadece zar kızarıklığı ağlayan çocukta yanıltıcı olabilir; hareketlilik ve bombeleşme daha değerlidir.,Akut otitis media; Orta kulak efüzyonu; Timpanik membran bombeleşmesi,0,Otoskopide timpan membran kısmen seçilebilir ve belirgin orta kulak efüzyonu izlenmez. || Kısmen görülebiliyor; belirgin orta kulak efüzyonu yok || Akut otitis media kabul edip yalnız oral amoksisilin-klavulanat başlamak
v407-small-clerkships-nekrotizan-otitis-eksterna,Nekrotizan otitis eksterna,Nekrotizan otitis eksterna; malign otitis eksterna; necrotizing external otitis,Küçük Stajlar,KBB - malign dış kulak enfeksiyonu,P0,Özellikle diyabetik/immünsüprese hastada dış kulak yolundan kafa tabanına ilerleyebilen ağır enfeksiyondur.,"Şiddetli gece otaljisi, kötü kokulu akıntı, dış kulak yolu granülasyonu ve kranial sinir bulguları alarmdır. Pseudomonas ilişkisi ve uzun süreli antipseudomonal tedavi önemlidir.",Diyabetik hastada dirençli gece otaljisi + granülasyon = nekrotizan otitis eksterna.,Basit otitis eksternada enfeksiyon dış kulak yoluyla sınırlıdır ve kafa tabanı osteomiyeliti beklenmez.,Otitis eksterna; Dış kulak yolu granülasyonu; Kafa tabanı osteomiyeliti,3,"Kötü kontrollü diyabette şiddetli, tedaviye dirençli otalji ve dış kulak yolu granülasyonunu nekrotizan/malign eksternal otit açısından yorumlayıp başlangıç yönetimini seçme. || Nekrotizan eksternal otitte basit otitis eksterna tedavisinin yetersiz kaldığını; kültür, görüntüleme ve glisemik kontrol planlanırken sistemik antipseudomonal tedavinin geciktirilmemesi gerektiğini ayırt edebilme. || Dış kulak yolu granülasyonu, pürülan akıntı ve fasiyal sinir etkilenimi derin doku/kafa tabanı yayılımı açısından yüksek riskli bir tablo oluşturur."
v407-small-clerkships-dis-kulak-yolu-granulasyonu,Dış kulak yolu granülasyonu,Dış kulak yolu granülasyonu; kulak yolu granülasyonu,Küçük Stajlar,KBB - otolojik alarm bulgusu,P1,Dış kulak yolunda kronik inflamasyon/enfeksiyonla gelişen granülasyon dokusudur.,Diyabetik hastada şiddetli otalji ve akıntıyla birlikte nekrotizan otitis eksterna açısından kritik ipucudur. Granülasyon özellikle kemik-kıkırdak birleşiminde dikkat çeker.,Diyabetik + dış kulak granülasyonu = malign/nekrotizan otitis eksterna düşün.,Basit kulak kiri veya yüzeyel dermatit granülasyon ve kranial sinir riski yapmaz.,Nekrotizan otitis eksterna; Pseudomonas aeruginosa; Kafa tabanı osteomiyeliti,56,"Kötü kontrollü diyabette şiddetli, tedaviye dirençli otalji ve dış kulak yolu granülasyonunu nekrotizan/malign eksternal otit açısından yorumlayıp başlangıç yönetimini seçme. || Dış kulak yolu granülasyonu, pürülan akıntı ve fasiyal sinir etkilenimi derin doku/kafa tabanı yayılımı açısından yüksek riskli bir tablo oluşturur. || Pseudomonas aeruginosa üremesi bildirildi"
v407-small-clerkships-kafa-tabani-osteomiyeliti,Kafa tabanı osteomiyeliti,Kafa tabanı osteomiyeliti; skull base osteomyelitis,Küçük Stajlar,KBB - enfeksiyon komplikasyonu,P1,Kafa tabanı kemiklerinin enfeksiyonla tutulmasıdır.,Nekrotizan otitis eksterna dış kulak yolundan ilerleyerek kafa tabanı osteomiyelitine neden olabilir. Fasiyal sinir zayıflığı gibi kranial sinir bulguları gelişebilir.,Nekrotizan otitis eksterna komplikasyon hedefi: kafa tabanı osteomiyeliti.,Mastoidit daha çok orta kulak enfeksiyonunun mastoid hava hücrelerine yayılımıdır.,Nekrotizan otitis eksterna; Dış kulak yolu granülasyonu; Fasiyal sinir felci,1,"Kötü kontrollü diyabette şiddetli, tedaviye dirençli otalji ve dış kulak yolu granülasyonunu nekrotizan/malign eksternal otit açısından yorumlayıp başlangıç yönetimini seçme. || Dış kulak yolu granülasyonu, pürülan akıntı ve fasiyal sinir etkilenimi derin doku/kafa tabanı yayılımı açısından yüksek riskli bir tablo oluşturur. || Kötü kontrollü diyabetli hastada dirençli gece otaljisi, dış kulak yolu granülasyonu, kötü kokulu akıntı ve hafif fasiyal zayıflık saptandığında en uygun başlangıç yönetimi hangisidir?"
v407-small-clerkships-endolenfatik-hidrops,Endolenfatik hidrops,Endolenfatik hidrops; endolymphatic hydrops,Küçük Stajlar,KBB - vestibüler patofizyoloji,P1,İç kulakta endolenf sıvısının basınç/hacim artışıyla ilişkili durumdur.,"Meniere hastalığında epizodik vertigo, tinnitus, kulakta dolgunluk ve dalgalanan düşük frekanslı sensörinöral işitme kaybını açıklayan temel mekanizma olarak kullanılır.",Meniere mekanizması: endolenfatik hidrops.,BPPV’de sorun otokonilerin semisirküler kanala kaçmasıdır; ataklar saniyeler sürer ve pozisyonla tetiklenir.,Meniere hastalığı; Tinnitus; Düşük frekanslı işitme kaybı,2,"Meniere hastalığında atak süresi, dalgalanan kulak semptomları ve düşük frekans sensörinöral işitme kaybının tanısal değerini açıklayabilme. || Saatler süren tekrarlayan spontan vertigo ataklarına sol kulakta dolgunluk, tinnitus ve dalgalanan işitme azalması eşlik ediyor. || Saatler süren tekrarlayan spontan vertigo ataklarına sol kulakta tinnitus, dolgunluk ve düşük frekans ağırlıklı sensörinöral işitme kaybı eşlik eden bu hastada en olası tanı hangisidir?"
v407-small-clerkships-epizodik-spontan-vertigo,Epizodik spontan vertigo,Epizodik spontan vertigo; spontan vertigo atağı,Küçük Stajlar,KBB - nörootoloji semptomu,P1,Belirgin pozisyon tetikleyicisi olmadan ataklar halinde gelen dönme hissidir.,Meniere hastalığında ataklar genellikle dakikalar-saatler sürer ve tinnitus/kulakta dolgunluk/işitme kaybı eşlik eder. BPPV’de ise saniyelik pozisyonel ataklar beklenir.,Saatler süren vertigo + tinnitus + dolgunluk = Meniere.,Serebellar inmede vertigo sürekli olabilir ve nörolojik bulgular eşlik edebilir.,Meniere hastalığı; Endolenfatik hidrops; Tinnitus,0,"Meniere hastalığında atak süresi, dalgalanan kulak semptomları ve düşük frekans sensörinöral işitme kaybının tanısal değerini açıklayabilme. || Saatler süren tekrarlayan spontan vertigo ataklarına sol kulakta dolgunluk, tinnitus ve dalgalanan işitme azalması eşlik ediyor. || Saatler süren tekrarlayan spontan vertigo ataklarına sol kulakta tinnitus, dolgunluk ve düşük frekans ağırlıklı sensörinöral işitme kaybı eşlik eden bu hastada en olası tanı hangisidir?"
v407-small-clerkships-kulakta-dolgunluk,Kulakta dolgunluk,Kulakta dolgunluk; aural fullness,Küçük Stajlar,KBB - otolojik semptom,P1,"Kulakta basınç, tıkanıklık veya doluluk hissidir.",Meniere atağında tinnitus ve dalgalanan işitme kaybıyla birlikte tipik yakınmadır. Tek başına özgül değildir; vertigo süresi ve odyometri paterniyle anlam kazanır.,Vertigo atağına kulakta dolgunluk/tinnitus eşlik ediyorsa Meniere düşün.,Östaki disfonksiyonunda dolgunluk olur ama tekrarlayan saatlik vertigo ve SNHL paterni beklenmez.,Meniere hastalığı; Tinnitus; Düşük frekanslı işitme kaybı,21,"Tekrarlayan vertigo ve kulakta dolgunluk || Meniere hastalığında atak süresi, dalgalanan kulak semptomları ve düşük frekans sensörinöral işitme kaybının tanısal değerini açıklayabilme. || Hasta, tekrarlayan dönme hissi atakları ve sol kulakta dolgunluk-çınlama ile başvuruyor."
v407-small-clerkships-dusuk-frekansli-sensorinoral-isitme-kaybi,Düşük frekanslı sensörinöral işitme kaybı,Düşük frekanslı sensörinöral işitme kaybı; düşük frekans SNHL; low-frequency SNHL,Küçük Stajlar,KBB - odyometri bulgusu,P1,Özellikle düşük frekanslarda iç kulak/sinir kaynaklı işitme azalmasıdır.,Meniere hastalığında erken dönemde dalgalanan düşük frekans ağırlıklı SNHL tipiktir. Ataklar ilerledikçe kalıcı işitme kaybı gelişebilir.,Meniere’de vertigoya düşük frekanslı SNHL eşlik eder.,İletim tipi kayıp otitis media/serumen gibi dış-orta kulak sorunlarını düşündürür.,Meniere hastalığı; Endolenfatik hidrops; Tinnitus,0,"Meniere hastalığında atak süresi, dalgalanan kulak semptomları ve düşük frekans sensörinöral işitme kaybının tanısal değerini açıklayabilme. || Saatler süren tekrarlayan spontan vertigo ataklarına sol kulakta dolgunluk, tinnitus ve dalgalanan işitme azalması eşlik ediyor. || Saatler süren tekrarlayan spontan vertigo ataklarına sol kulakta tinnitus, dolgunluk ve düşük frekans ağırlıklı sensörinöral işitme kaybı eşlik eden bu hastada en olası tanı hangisidir?"
v407-small-clerkships-foosh-mekanizmasi,FOOSH mekanizması,FOOSH mekanizması; el üzerine düşme; fall on outstretched hand,Küçük Stajlar,Ortopedi - travma mekanizması,P1,Açık el üzerine düşme sonucu gelişen travma mekanizmasıdır.,Skafoid ve distal radius kırıkları için klasik mekanizmadır. Bilek ağrısında anatomik enfiye çukuru hassasiyeti varsa ilk grafi normal olsa bile skafoid kırığı dışlanamaz.,FOOSH + enfiye çukuru hassasiyeti = skafoid kırığı gibi yönet.,Dirsek üzerine direkt düşme olekranon/radial baş yaralanmalarını daha çok düşündürür.,Skafoid kırığı; Anatomik enfiye çukuru; Başparmak spika atel,11,"El üzerine düşme sonrası bilek ağrısı || FOOSH sonrası radial bilek ağrısı ve anatomik enfiye çukuru hassasiyetinde, ilk grafi negatif olsa bile okült skafoid kırığı riskini yönetme. || Skafoid kırığında proksimal kutup kanlanması nedeniyle atlanan kırığın nonunion ve avasküler nekroz riski taşıdığını; klinik şüphe yüksekse immobilizasyon ve erken/seri görüntüleme gerektiğini açıklayabilme."
v407-small-clerkships-anatomik-enfiye-cukuru-hassasiyeti,Anatomik enfiye çukuru hassasiyeti,Anatomik enfiye çukuru hassasiyeti; snuffbox hassasiyeti; anatomical snuffbox tenderness,Küçük Stajlar,Ortopedi - skafoid muayenesi,P0,Başparmak kökü-radial bilek bölgesindeki çukurda palpasyonla ağrı olmasıdır.,Skafoid kırığı için klasik muayene bulgusudur. Negatif ilk grafi tanıyı dışlamaz; uygun immobilizasyon gecikmiş komplikasyonları azaltır.,Enfiye çukuru hassasiyeti skafoid kırığı kabul edilip immobilize edilir.,De Quervain tenosinovitinde Finkelstein testi ve tendon ağrısı öne çıkar; akut FOOSH öyküsü skafoidi güçlendirir.,Skafoid kırığı; Başparmak spika atel; FOOSH mekanizması,2,"FOOSH sonrası radial bilek ağrısı ve anatomik enfiye çukuru hassasiyetinde, ilk grafi negatif olsa bile okült skafoid kırığı riskini yönetme. || Skafoid kırığında proksimal kutup kanlanması nedeniyle atlanan kırığın nonunion ve avasküler nekroz riski taşıdığını; klinik şüphe yüksekse immobilizasyon ve erken/seri görüntüleme gerektiğini açıklayabilme. || Açık el üzerine düşme sonrası radial bilek ağrısı, anatomik enfiye çukuru hassasiyeti ve başparmak aksiyel yüklenme ağrısı vardır."
v407-small-clerkships-skafoid-avaskuler-nekrozu,Skafoid avasküler nekrozu,Skafoid avasküler nekrozu; AVN; skafoid AVN,Küçük Stajlar,Ortopedi - kırık komplikasyonu,P1,Skafoid kanlanmasının bozulmasıyla kemik dokusunda iskemi/nekroz gelişmesidir.,Skafoidin retrograd kanlanması nedeniyle özellikle proksimal kutup kırıkları avasküler nekroz ve kaynamama riski taşır. Bu nedenle şüpheli kırık atlanmamalıdır.,Skafoid kırığı atlanırsa avasküler nekroz riski sınav favorisidir.,Distal radius kırığında deformite belirgin olabilir; skafoid kırığı daha sinsi ama komplikasyon riski yüksektir.,Skafoid kırığı; Başparmak spika atel; FOOSH mekanizması,0,"FOOSH sonrası radial bilek ağrısı ve anatomik enfiye çukuru hassasiyetinde, ilk grafi negatif olsa bile okült skafoid kırığı riskini yönetme. || Skafoid kırığında proksimal kutup kanlanması nedeniyle atlanan kırığın nonunion ve avasküler nekroz riski taşıdığını; klinik şüphe yüksekse immobilizasyon ve erken/seri görüntüleme gerektiğini açıklayabilme. || Bu hastada FOOSH mekanizması, anatomik enfiye çukuru ve skafoid tüberkül hassasiyeti okült skafoid kırığı şüphesini yüksek tutar. İlk grafiler belirgin kırık göstermese bile güvenli yaklaşım başparmak destekli immobilizasyon yapıp erken MRG/BT veya 10–14 gün kontrol görüntüleme planlamaktır."
