id,term,aliases,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples
v402-pharmacology-mesna,Mesna,Mesna | mesna koruması,Kemoterapi destek tedavisi,P1,Siklofosfamid/ifosfamid kaynaklı akroleini bağlayarak hemorajik sistiti azaltan koruyucu ajandır.,Mesna sistemik antitümör etkiyi değil mesane toksisitesini hedefler. Bu nedenle kemoterapi yan etkisi-antidot eşleşmelerinde yüksek verimlidir.,Siklofosfamid hemorajik sistitinde koruyucu ajan mesnadır.,Folinik asit metotreksat; mesna siklofosfamid/ifosfamid sistiti için kullanılır.,Siklofosfamid hemorajik sistit | Akrolein | İfosfamid,2,Mesna siklofosfamidin hemorajik sistit toksisitesinde kullanılır; sisplatin nefrotoksisitesi için klasik isim amifostindir. || Mesna siklofosfamidin hemorajik sistit toksisitesinde kullanılır; sisplatin nefrotoksisitesi için klasik isim amifostindir.
v402-pharmacology-cisplatin-nefrotoksisitesi,Cisplatin nefrotoksisitesi,Cisplatin nefrotoksisitesi | sisplatin nefrotoksisitesi,Kemoterapi yan etkileri,P1,Cisplatinin böbrek tübüllerinde hasar yaparak nefrotoksisite oluşturmasıdır.,Hidrasyon ve elektrolit takibi önemlidir; ototoksisite ve periferik nöropati de görülebilir. Platinum ilaç yan etkileri içinde nefrotoksisite sınavda sık ayrım noktasıdır.,Cisplatin = nefrotoksisite + ototoksisite.,Karboplatin daha çok miyelosupresyon; cisplatin böbrek/işitme toksisitesiyle öne çıkar.,Cisplatin | Ototoksisite | Nefrotoksisite,2,Mesna siklofosfamidin hemorajik sistit toksisitesinde kullanılır; sisplatin nefrotoksisitesi için klasik isim amifostindir. || Mesna siklofosfamidin hemorajik sistit toksisitesinde kullanılır; sisplatin nefrotoksisitesi için klasik isim amifostindir.
v402-pharmacology-vinkristin-noropatisi,Vinkristin nöropatisi,Vinkristin nöropatisi | vincristine nöropati,Kemoterapi yan etkileri,P1,Vinkristinin mikrotübül polimerizasyonunu engellemesine bağlı periferik nöropati riskidir.,Mikrotübül dinamiği bozulunca aksonal transport etkilenir; konstipasyon/ileus ve periferik nöropati görülebilir. Miyelosupresyon diğer vinka alkaloidlerine göre daha az belirgin olabilir.,Vinkristin = nöropati ve konstipasyon/ileus.,Vinblastin daha çok miyelosupresyonla; vinkristin nörotoksisiteyle hatırlanır.,Vinkristin | Mikrotübül | Periferik nöropati,0,Vinkristin toksisitesi || vinkristin
v402-pharmacology-paklitaksel-mikrotubul-stabilizasyonu,Paklitaksel mikrotübül stabilizasyonu,Paklitaksel mikrotübül stabilizasyonu | paclitaxel mikrotübül stabilizasyonu,Kemoterapi mekanizması,P1,Mikrotübülleri stabilize ederek depolimerizasyonu engelleyen antimitotik mekanizmadır.,Hücre mitozda takılır ve proliferasyon azalır. Periferik nöropati ve hipersensitivite reaksiyonları önemli yan etkilerdir.,Paklitaksel mikrotübülü stabilize eder; vinka alkaloidleri mikrotübül oluşumunu engeller.,Vinkristin mikrotübül polimerizasyonunu azaltır; paklitaksel depolimerizasyonu engeller.,Paklitaksel | Mikrotübül | Mitoz,0,"Mikrotübül polimerizasyonunu baskılayarak nötrofil kemotaksisini azaltma || Mikrotübül polimerizasyonunu baskılayıp nötrofil hareketini azaltmak kolşisinin akut atak inflamasyonunu kontrol eden mekanizmasıdır. Bu, serum ürik asit üretimini düşüren uzun dönem mekanizma değildir."
v402-pharmacology-rituksimab,Rituksimab,Rituksimab | anti-CD20 rituksimab,Monoklonal antikorlar,P1,CD20 pozitif B hücrelerini hedefleyen monoklonal antikordur.,B hücreli lenfoma ve bazı otoimmün hastalıklarda kullanılır. İnfüzyon reaksiyonu ve HBV reaktivasyonu açısından dikkat gerekir.,Rituksimab = anti-CD20 B hücre hedefi.,Trastuzumab HER2; rituksimab CD20 hedefler.,CD20 | B hücresi | HBV reaktivasyonu,0,
v402-pharmacology-imatinib,İmatinib,İmatinib | imatinib mesilat,Hedefe yönelik tedaviler,P1,BCR-ABL tirozin kinazını inhibe eden hedefe yönelik ilaçtır.,KML ve bazı GIST olgularında moleküler hedefe yönelik tedavi mantığını öğretir. ATP bağlanma bölgesi inhibisyonu proliferatif sinyali azaltır.,KML + BCR-ABL = imatinib.,Rituksimab antikor; imatinib küçük molekül tirozin kinaz inhibitörüdür.,BCR-ABL | Tirozin kinaz inhibitörü | KML,0,
v402-pharmacology-tnf-alfa-inhibitoru,TNF-alfa inhibitörü,TNF-alfa inhibitörü | infliximab | adalimumab | etanersept,Biyolojik ajanlar,P1,TNF-α sinyalini bloke ederek inflamasyonu azaltan biyolojik ilaç sınıfıdır.,Romatolojik hastalıklar ve inflamatuvar barsak hastalıklarında kullanılır. Latent tüberküloz reaktivasyonu riski nedeniyle tedavi öncesi tarama önemlidir.,TNF inhibitörü başlamadan önce latent TB taraması yapılır.,Rituksimab CD20 hedefler; TNF inhibitörleri sitokin blokajı yapar.,TNF-alfa | Latent tüberküloz | Biyolojik tedavi,0,Kapalı alanda insektisit maruziyeti → kolinesteraz inhibitörüyle uyumlu toksik maruziyet bağlamı oluşturur. || Kapalı alanda insektisit maruziyeti → kolinesteraz inhibitörüyle uyumlu toksik maruziyet bağlamı oluşturur.
v402-pharmacology-cyp450-induksiyonu,CYP450 indüksiyonu,CYP450 indüksiyonu | CYP indüksiyonu,Farmakokinetik / İlaç etkileşimi,P1,İlaç metabolize eden CYP enzimlerinin ekspresyon veya aktivitesinin artmasıdır.,"İndüksiyon, bazı ilaçların plazma düzeyini düşürerek tedavi başarısızlığına yol açabilir. Rifampisin, karbamazepin, fenitoin ve fenobarbital klasik indükleyicilerdir.",CYP indükleyici ilaçlar birlikte verilen ilaçların etkisini azaltabilir.,CYP inhibisyonu ilaç düzeyini artırır; indüksiyon genellikle düzeyi azaltır.,Rifampisin CYP indüksiyonu | İlaç etkileşimi | Warfarin,14,"Etambutol optik nörit, rifampisin CYP indüksiyonu/turuncu sekresyon, pirazinamid hiperürisemi ile ayrılır. || CYP indüksiyonu"
v402-pharmacology-cyp450-inhibisyonu,CYP450 inhibisyonu,CYP450 inhibisyonu | CYP inhibisyonu,Farmakokinetik / İlaç etkileşimi,P1,İlaç metabolize eden CYP enzim aktivitesinin azalması ve substrat ilaç düzeyinin artmasıdır.,"Makrolid, azol antifungal, amiodaron ve bazı proteaz inhibitörleri etkileşim açısından önemlidir. Toksisite riski özellikle dar terapötik aralıklı ilaçlarda belirgindir.",CYP inhibitörü ilaç düzeyini artırıp toksisite yapabilir.,Rifampisin gibi indükleyiciler tersine ilaç düzeyini azaltır.,Azol CYP inhibisyonu | İlaç etkileşimi | Dar terapötik aralık,0,CYP450 indüksiyonu. || CYP450 indüksiyonu.
v402-pharmacology-yukleme-dozu,Yükleme dozu,Yükleme dozu | loading dose,Farmakokinetik,P1,Hedef plazma düzeyine hızlı ulaşmak için başlangıçta verilen daha yüksek ilaç dozudur.,Dağılım hacmi ve hedef konsantrasyonla ilişkilidir; kararlı duruma ulaşmayı beklemeden terapötik düzeye çıkmak istenen ilaçlarda kullanılır.,Yükleme dozu dağılım hacmiyle; idame dozu klirensle ilişkilidir.,İnfüzyon hızını artırmak kararlı durum düzeyini değiştirir; kararlı duruma ulaşma süresini esas olarak yarı ömür belirler.,Dağılım hacmi | Kararlı durum | İdame dozu,0,
v402-pharmacology-idame-dozu,İdame dozu,İdame dozu | maintenance dose,Farmakokinetik,P1,Hedef plazma düzeyini sürdürmek için düzenli verilen devam dozudur.,Klirens ve hedef konsantrasyonla ilişkilidir. Böbrek/karaciğer yetmezliği olan hastada idame dozu veya doz aralığı ayarlaması gerekebilir.,İdame dozu klirensle ilişkilidir.,Yükleme dozu dağılım hacmine daha çok bağlıdır; idame dozu eliminasyon hızına göre ayarlanır.,Klirens | Yükleme dozu | Kararlı durum,0,
v402-pharmacology-dar-terapotik-aralik,Dar terapötik aralık,Dar terapötik aralık | narrow therapeutic index,Farmakokinetik / Güvenlik,P1,Etkin doz ile toksik doz arasındaki güvenlik mesafesinin küçük olduğu ilaç özelliğidir.,"Digoksin, lityum, warfarin ve bazı antiepileptikler doz-izlem gerektirir. Küçük doz değişiklikleri veya CYP etkileşimleri ciddi toksisite doğurabilir.",Dar terapötik aralıklı ilaçlarda düzey/INR/klinik izlem kritik olur.,Geniş terapötik aralıklı ilaçlarda küçük doz değişimleri genelde daha tolere edilir.,Digoksin toksisitesi | Lityum toksisitesi | Warfarin,3,"Digoksin toksisitesinde Na⁺/K⁺-ATPaz inhibisyonu, dar terapötik aralık, renal klirens azalması ve digoksin immün Fab ile bağlama tedavisi. || Digoksin toksisitesinde renal klirens azalması, elektrolit bozukluğu ve dar terapötik aralık birlikte aritmi riskini artırır."
v402-pharmacology-sifirinci-derece-eliminasyon,Sıfırıncı derece eliminasyon,Sıfırıncı derece eliminasyon | zero-order eliminasyon,Farmakokinetik,P1,"Birim zamanda sabit miktarda ilaç elimine edilen, enzim doygunluğuna bağlı kinetiktir.","Konsantrasyon arttıkça eliminasyon hızı orantılı artamaz; küçük doz artışları plazma düzeyinde belirgin yükselmeye yol açabilir. Fenitoin, etanol ve yüksek doz aspirin klasik örneklerdir.",Fenitoin/etanol/aspirin yüksek dozda sıfırıncı derece kinetik örnekleridir.,Birinci derece eliminasyonda birim zamanda sabit oran elimine edilir.,Fenitoin | Etanol | Aspirin,0,"Lityum toksisitesinde renal eliminasyon azalması, dar terapötik indeks ve ağır nörolojik bulguda diyaliz değerlendirmesi || Kreatinin artışı ve hafif hiponatremi, sıvı kaybı ile birlikte renal ilaç eliminasyonunun azalabileceğini gösterir."
v402-pharmacology-birinci-derece-eliminasyon,Birinci derece eliminasyon,Birinci derece eliminasyon | first-order eliminasyon,Farmakokinetik,P2,Birim zamanda ilacın sabit oranının elimine edildiği en yaygın eliminasyon kinetiğidir.,Plazma konsantrasyonu arttıkça elimine edilen miktar da artar. Yarı ömür kavramı bu kinetikte daha öngörülebilir şekilde kullanılır.,Çoğu ilaç terapötik düzeylerde birinci derece eliminasyon gösterir.,Sıfırıncı derece eliminasyonda sabit oran değil sabit miktar elimine edilir.,Yarı ömür | Klirens | Sıfırıncı derece eliminasyon,0,"Lityum toksisitesinde renal eliminasyon azalması, dar terapötik indeks ve ağır nörolojik bulguda diyaliz değerlendirmesi || Kreatinin artışı ve hafif hiponatremi, sıvı kaybı ile birlikte renal ilaç eliminasyonunun azalabileceğini gösterir."
v402-pharmacology-plazma-protein-baglanmasi,Plazma protein bağlanması,Plazma protein bağlanması | protein binding,Farmakokinetik,P1,İlacın albümin veya alfa-1 asit glikoprotein gibi plazma proteinlerine bağlanmasıdır.,"Sadece serbest fraksiyon farmakolojik etki, dağılım ve eliminasyon açısından aktiftir. Hipoalbüminemi veya yer değiştirme etkileşimleri dar terapötik aralıklı ilaçlarda toksisiteyi artırabilir.",Serbest ilaç fraksiyonu klinik etki ve toksisite için belirleyicidir.,Dağılım hacmi dokuya geçişi; protein bağlanması plazmada bağlı-serbest dengeyi anlatır.,Serbest ilaç fraksiyonu | Albümin | Dar terapötik aralık,0,Plazma kolinesteraz aktivitesi || Plazma kolinesteraz aktivitesi
v402-pharmacology-agonist,Agonist,Agonist | reseptör agonisti,Farmakodinami,P2,Reseptöre bağlanıp onu aktive ederek biyolojik yanıt oluşturan moleküldür.,Agonist kavramı ilacın yalnız bağlanmasını değil reseptör aktivasyonu yapmasını ifade eder. Parsiyel agonist daha düşük maksimal etki oluşturur.,Agonist reseptörü aktive eder; antagonist aktivasyonu engeller.,Antagonist reseptöre bağlanabilir ama intrinsik aktivite oluşturmaz.,Reseptör | Parsiyel agonist | Antagonist,0,"Bu yaklaşım toksidromun nedenini ortadan kaldırır ve hipertermi, ajitasyon ile nöromüsküler hiperaktiviteyi hedefler. Klonus/hiperrefleksi baskın olduğu için dopamin agonisti veya rijidite odaklı tedavi öncelikli değildir. || Bu yaklaşım toksidromun nedenini ortadan kaldırır ve hipertermi, ajitasyon ile nöromüsküler hiperaktiviteyi hedefler. Klonus/hiperrefleksi baskın olduğu için dopamin agonisti veya rijidite odaklı tedavi öncelikli değildir."
v402-pharmacology-antagonist,Antagonist,Antagonist | reseptör antagonisti,Farmakodinami,P2,Reseptöre bağlanıp agonist etkisini azaltan veya engelleyen moleküldür.,Kompetitif antagonist agonistle aynı bağlanma bölgesi için yarışır ve yüksek agonist konsantrasyonuyla aşılabilir. Nonkompetitif antagonizmada maksimal yanıt azalır.,"Kompetitif antagonizmada eğri sağa kayar, Emax korunabilir.",Agonist intrinsik aktiviteye sahiptir; antagonist reseptörü aktive etmeden etkiyi engeller.,Kompetitif antagonist | Nonkompetitif antagonist | Emax,57,"Serotonin toksisitesinde belirleyici bulgular hızlı başlangıç, otonomik hiperaktivite, gastrointestinal semptomlar, hiperrefleksi ve klonustur; tedavi serotonerjik ajanları kesmek ve destekleyici/sedatif-antagonist yaklaşımı uygulamaktır. || Serotonin toksisitesinde belirleyici bulgular hızlı başlangıç, otonomik hiperaktivite, gastrointestinal semptomlar, hiperrefleksi ve klonustur; tedavi serotonerjik ajanları kesmek ve destekleyici/sedatif-antagonist yaklaşımı uygulamaktır."
v402-pharmacology-parsiyel-agonist,Parsiyel agonist,Parsiyel agonist | partial agonist,Farmakodinami,P1,Reseptörü aktive eden fakat tam agoniste göre daha düşük maksimal etki oluşturan agonisttir.,Tek başına agonist gibi davranabilir; tam agonist varlığında reseptörü işgal ederek fonksiyonel antagonist gibi davranabilir. Bu kavram buprenorfin ve aripiprazol gibi ilaçları anlamada yararlıdır.,Parsiyel agonist hem agonist hem fonksiyonel antagonist gibi davranabilir.,Kompetitif antagonist intrinsik aktivite oluşturmaz; parsiyel agonistin intrinsik aktivitesi vardır.,Agonist | Antagonist | Emax,0,"Bu yaklaşım toksidromun nedenini ortadan kaldırır ve hipertermi, ajitasyon ile nöromüsküler hiperaktiviteyi hedefler. Klonus/hiperrefleksi baskın olduğu için dopamin agonisti veya rijidite odaklı tedavi öncelikli değildir. || Bu yaklaşım toksidromun nedenini ortadan kaldırır ve hipertermi, ajitasyon ile nöromüsküler hiperaktiviteyi hedefler. Klonus/hiperrefleksi baskın olduğu için dopamin agonisti veya rijidite odaklı tedavi öncelikli değildir."
v402-pharmacology-terapotik-indeks,Terapötik indeks,Terapötik indeks | therapeutic index,Farmakodinami / Güvenlik,P1,Toksik doz ile etkili doz arasındaki güvenlik oranını ifade eden kavramdır.,Terapötik indeks düşükse doz hatası veya etkileşim toksisiteye daha kolay yol açar. Klinik izlem gerektiren ilaçların neden dikkatli kullanıldığını açıklar.,Dar terapötik indeksli ilaçlarda izlem gerekir.,"Terapötik pencere klinikte hedef konsantrasyon aralığını, terapötik indeks güvenlik oranını vurgular.",Dar terapötik aralık | Doz-yanıt eğrisi | İlaç toksisitesi,8,"Lityum toksisitesinde renal eliminasyon azalması, dar terapötik indeks ve ağır nörolojik bulguda diyaliz değerlendirmesi || İlaç düzeyi klinik bulgular ve EKG ile birlikte anlamlıdır; dar terapötik indeks nedeniyle tek başına sayıdan çok toksisite tablosuyla birlikte yorumlanır."
v402-pharmacology-neostigmin,Neostigmin,Neostigmin | neostigmine,Otonom farmakoloji,P1,Periferik asetilkolinesterazı inhibe ederek nöromüsküler kavşakta asetilkolin etkisini artıran ilaçtır.,Myastenia gravis ve nondepolarizan nöromüsküler blok geri dönüşünde kullanılır; muskarinik yan etkiler için atropin/glikopirolat eşlik edebilir. Santral geçişi sınırlı olduğu için fizostigminden ayrılır.,Neostigmin periferik AChE inhibitörüdür; nöromüsküler blok geri dönüşünde kullanılır.,Fizostigmin BBB geçer; neostigmin daha periferik etkilidir.,Asetilkolinesteraz inhibisyonu | Nondepolarizan nöromüsküler blokör | Atropin,13,Asetilkolinesteraz inhibisyonu organofosfat toksisitesi veya neostigmin gibi ilaçlarla ilişkilidir. Malign hipertermide sorun sinaptik asetilkolin azlığı değil kas hücresinde kontrolsüz kalsiyum salınımıdır. || Asetilkolinesteraz inhibisyonu organofosfat toksisitesi veya neostigmin gibi ilaçlarla ilişkilidir. Malign hipertermide sorun sinaptik asetilkolin azlığı değil kas hücresinde kontrolsüz kalsiyum salınımıdır.
v402-pharmacology-betanekol,Betanekol,Betanekol | bethanechol,Otonom farmakoloji,P1,Muskarinik agonist olarak mesane ve gastrointestinal düz kas aktivitesini artıran ilaçtır.,"Üriner retansiyon ve bazı ileus tablolarında parasempatik etkiyi taklit eder. Bronkospazm, bradikardi ve sekresyon artışı gibi kolinerjik yan etkiler sınavda ayırt ettirir.",Betanekol muskarinik agonisttir; mesane detrusor kasını uyarır.,Atropin muskarinik antagonisttir; betanekol agonist olarak zıt etki yapar.,Muskarinik reseptör | Üriner retansiyon | Kolinerjik yan etki,0,
v402-pharmacology-pilokarpin,Pilokarpin,Pilokarpin | pilocarpine,Otonom farmakoloji,P1,Muskarinik agonist olarak salivasyon ve aköz hümör drenajını artırabilen ilaçtır.,Glokomda siliyer kas kontraksiyonu ve trabeküler dışa akımı artırma mantığıyla; Sjögren gibi ağız kuruluğu tablolarında sekresyon artırma mantığıyla düşünülür.,Pilokarpin muskarinik agonisttir; sekresyon ve miyozis yapar.,Atropin midriyazis ve kuruluk yapar; pilokarpin miyozis ve sekresyon artışı yapar.,Muskarinik reseptör | Glokom | Salivasyon,0,
v402-pharmacology-fenilefrin,Fenilefrin,Fenilefrin | phenylephrine,Adrenerjik farmakoloji,P1,Selektif alfa-1 agonist olarak vazokonstriksiyon ve midriyazis yapan sempatomimetiktir.,"Kan basıncını artırabilir ve nazal dekonjestan olarak kullanılabilir; beta etkisi olmadığı için doğrudan taşikardi beklenmeyebilir, refleks bradikardi görülebilir.",Fenilefrin = alfa-1 agonist + vazokonstriksiyon.,Epinefrin alfa ve beta etkili; fenilefrin daha saf alfa-1 etkili olarak ayrılır.,Alfa-1 reseptör | Vazokonstriksiyon | Refleks bradikardi,0,
v402-pharmacology-dobutamin,Dobutamin,Dobutamin | dobutamine,Adrenerjik farmakoloji,P1,Beta-1 agonist etkisi baskın olan pozitif inotropik ajandır.,Kalp kontraktilitesini artırır ve stres ekokardiyografide farmakolojik stres ajanı olarak kullanılabilir. Şokta kardiyak output artırma mantığıyla düşünülür.,Dobutamin beta-1 etkisiyle inotropiyi artırır.,Dopamin doz bağımlı reseptör etkileriyle; dobutamin beta-1 inotropi baskınlığıyla ayrılır.,Beta-1 reseptör | İnotropi | Kalp debisi,6,"Beta-1 agonizmi dobutamin/izoproterenol gibi adrenerjik ajanlarla ilişkilidir. Glukagonun değeri, bloke edilmiş beta reseptörünü doğrudan uyarması değil bu reseptörün downstream ikinci haberci etkisini alternatif reseptörle artırmasıdır. || Beta-1 agonizmi dobutamin/izoproterenol gibi adrenerjik ajanlarla ilişkilidir. Glukagonun değeri, bloke edilmiş beta reseptörünü doğrudan uyarması değil bu reseptörün downstream ikinci haberci etkisini alternatif reseptörle artırmasıdır."
v402-pharmacology-klonidin,Klonidin,Klonidin | clonidine,Adrenerjik farmakoloji,P1,Santral alfa-2 agonist olarak sempatik çıkışı azaltan antihipertansif ajandır.,"Presinaptik ve santral alfa-2 aktivasyonu norepinefrin salınımını azaltır; sedasyon, ağız kuruluğu ve ani kesilince rebound hipertansiyon önemlidir.",Klonidin ani kesilirse rebound hipertansiyon yapabilir.,Alfa-1 blokerler periferik vazodilatasyon; klonidin santral sempatolitik etkiyle ayrılır.,Alfa-2 reseptör | Sempatik çıkış | Rebound hipertansiyon,0,
v402-pharmacology-prazosin,Prazosin,Prazosin | alfa-1 bloker prazosin,Adrenerjik farmakoloji,P1,Periferik alfa-1 reseptör blokajı ile vazodilatasyon yapan ilaçtır.,İlk doz senkopu ve ortostatik hipotansiyon klasik yan etkidir. Ayrıca travma sonrası kabus semptomlarında da klinik kullanımı bilinir.,Prazosin = alfa-1 blokaj + ilk doz senkopu.,Fenoksibenzamin irreversibl alfa blokaj; prazosin selektif alfa-1 blokajla ayrılır.,Alfa-1 reseptör | Ortostatik hipotansiyon | İlk doz senkopu,0,"Beta-bloker toksisitesinde bradikardi, hipotansiyon ve hipoglisemiyi birlikte değerlendirip glukagonun beta reseptörden bağımsız kardiyak sinyal yolunu ayırt etme. || Yakınları hastanın yaklaşık 3-4 saat önce normal dozunun üzerinde çok sayıda propranolol tableti aldığını belirtmektedir. İlacı migren profilaksisi ve hipertansiyon için düzenli kullandığı, son günlerde ek kalsiyum kanal blokeri veya digoksin başlamadığı öğrenilmiştir. Acile getirildiğinde belirgin halsizlik, baş dönmesi ve uykuya eğilim vardır. Kusma ya da travma öyküsü alınmaz; evde başka ilaç kutusu bulunmamıştır."
v402-pharmacology-fenoksibenzamin,Fenoksibenzamin,Fenoksibenzamin | phenoxybenzamine,Adrenerjik farmakoloji,P1,İrreversibl nonselektif alfa reseptör antagonisti ilaçtır.,Feokromositoma cerrahisi öncesi alfa blokaj için klasik olarak öğretilir. Beta blokajdan önce alfa blokaj yapılması hipertansif kriz riskini azaltma mantığı açısından önemlidir.,"Feokromositomada önce alfa blokaj, sonra gerekirse beta blokaj yapılır.",Fentolamin reversibl alfa blokerdir; fenoksibenzamin irreversibl blokajla ayrılır.,Alfa reseptör | Feokromositoma | Beta blokaj,0,
v402-pharmacology-lidokain,Lidokain,Lidokain | lidocaine,Lokal anestezik / Antiaritmik,P1,Voltaj kapılı sodyum kanallarını bloke eden lokal anestezik ve sınıf IB antiaritmiktir.,İskemik ventriküler aritmilerde sınıf IB etkisiyle; lokal anestezide sinir iletimini keserek kullanılır. Kullanım bağımlı blokaj ve sodyum kanal ilişkisi temel mekanizmadır.,Lidokain sınıf IB antiaritmik ve lokal anesteziktir.,Flekainid sınıf IC ile daha belirgin iletim yavaşlatır; lidokain iskemik ventriküler aritmilerle ilişkilidir.,Sodyum kanal blokajı | Sınıf IB antiaritmik | Lokal anestezi,0,
v402-pharmacology-bupivakain-kardiyotoksisitesi,Bupivakain kardiyotoksisitesi,Bupivakain kardiyotoksisitesi | bupivacaine cardiotoxicity,Lokal anestezik toksisitesi,P1,Bupivakainin güçlü sodyum kanal blokajı ile ciddi kardiyak aritmi ve depresyon yapabilmesidir.,Uzun etkili lokal anestezikler arasında kardiyotoksisite riski belirgindir. Sistemik toksisitede lipid emülsiyon tedavisi akılda tutulur.,Bupivakain sistemik toksisitesinde kardiyotoksisite yüksek risklidir.,Lidokain daha kısa etkili ve antiaritmik kullanımda da bilinir; bupivakain kardiyotoksisiteyle öne çıkar.,Lokal anestezik | Sodyum kanal blokajı | Lipid emülsiyon,0,Doksorubisin topoizomeraz II ve serbest radikal kardiyotoksisitesiyle; sisplatin DNA çapraz bağlarıyla ayrılır. || Doksorubisin kardiyotoksisitesi
v402-pharmacology-ketamin,Ketamin,Ketamin | NMDA antagonist ketamin,Anestezikler,P1,NMDA reseptör antagonizmasıyla dissosiyatif anestezi sağlayan ilaçtır.,"Analjezi ve amnezi oluşturur, sempatik tonusu artırabildiği için kan basıncı/kalp hızını yükseltebilir. Halüsinasyon ve emergence reaksiyonları sınavda yan etki olarak önemlidir.",Ketamin NMDA antagonistidir; dissosiyatif anestezi yapar.,Propofol hipotansiyon/solunum depresyonu; ketamin sempatik aktivasyonla ayrılır.,NMDA reseptörü | Dissosiyatif anestezi | Emergence reaksiyonu,0,"Serotonin toksisitesinde belirleyici bulgular hızlı başlangıç, otonomik hiperaktivite, gastrointestinal semptomlar, hiperrefleksi ve klonustur; tedavi serotonerjik ajanları kesmek ve destekleyici/sedatif-antagonist yaklaşımı uygulamaktır. || Serotonin toksisitesinde belirleyici bulgular hızlı başlangıç, otonomik hiperaktivite, gastrointestinal semptomlar, hiperrefleksi ve klonustur; tedavi serotonerjik ajanları kesmek ve destekleyici/sedatif-antagonist yaklaşımı uygulamaktır."
v402-pharmacology-propofol,Propofol,Propofol | propofol infüzyonu,Anestezikler,P1,GABA-A etkisini artırarak hızlı başlangıçlı sedasyon/anestezi sağlayan intravenöz ajandır.,Hipotansiyon ve solunum depresyonu yapabilir; uzun yüksek doz infüzyonda propofol infüzyon sendromu riski vardır. Antiemetik özellikleri de bilinir.,Propofol hızlı indüksiyon sağlar ama hipotansiyon/solunum depresyonu yapabilir.,Ketamin sempatik aktiviteyi artırabilir; propofol daha çok kardiyorespiratuvar depresyonla ayrılır.,GABA-A reseptörü | Solunum depresyonu | Hipotansiyon,0,v194-new-324-antibiyotik-infuzyonu-sirasinda-kizarma || Antibiyotik infüzyonu sırasında kızarma
v402-pharmacology-etomidat-adrenal-baskilanmasi,Etomidat adrenal baskılanması,Etomidat adrenal baskılanması | etomidate adrenal suppression,Anestezikler,P1,Etomidatın 11β-hidroksilaz inhibisyonu ile kortizol sentezini baskılayabilmesidir.,Hemodinamik stabilitesi nedeniyle bazı kritik hastalarda tercih edilebilir; ancak adrenal steroid sentezi baskısı sepsis/şok bağlamında tartışmalıdır.,Etomidat = hemodinamik stabilite + adrenal baskılanma.,Ketamin sempatik aktivasyon; propofol hipotansiyon; etomidat adrenal baskıyla ayrılır.,11β-hidroksilaz | Kortizol | Anestezi indüksiyonu,0,İnsektisit maruziyetiyle birlikte kolinesteraz aktivitesinin belirgin baskılanması sinaptik asetilkolin birikimini destekler; bu veri antidotun hangi hedef düzeyde etkili olacağını düşünmeye yönlendirir. || İnsektisit maruziyetiyle birlikte kolinesteraz aktivitesinin belirgin baskılanması sinaptik asetilkolin birikimini destekler; bu veri antidotun hangi hedef düzeyde etkili olacağını düşünmeye yönlendirir.
v402-pharmacology-nitrat-toleransi,Nitrat toleransı,Nitrat toleransı | nitrat free interval,Kardiyovasküler farmakoloji,P1,Organik nitratlara sürekli maruziyette vazodilatör yanıtın azalmasıdır.,Sülfhidril gruplarının tükenmesi ve nörohormonal karşı yanıtlar katkı sağlayabilir. Bu nedenle uzun etkili nitratlarda nitratsız aralık planlanır.,Nitratlarda toleransı azaltmak için nitratsız aralık bırakılır.,PDE5 inhibitörüyle birlikte kullanımı ciddi hipotansiyon riski oluşturur.,Nitrat | NO-cGMP yolu | PDE5 inhibitörü,0,Asetaldehit dehidrogenaz inhibisyonu disülfiram etkisidir ve asetaldehit birikimiyle alkol intoleransı oluşturur. Metanolde sorun asetaldehit değil formik asittir. || Asetaldehit dehidrogenaz inhibisyonu disülfiram etkisidir ve asetaldehit birikimiyle alkol intoleransı oluşturur. Metanolde sorun asetaldehit değil formik asittir.
v402-pharmacology-pde5-inhibitoru-nitrat-kontrendikasyonu,PDE5 inhibitörü nitrat kontrendikasyonu,PDE5 inhibitörü nitrat kontrendikasyonu | sildenafil nitrat kontrendikasyonu,Kardiyovasküler farmakoloji,P0,PDE5 inhibitörlerinin nitratlarla birlikte ciddi hipotansiyon riski nedeniyle kullanılmamasıdır.,Nitratlar cGMP üretimini artırırken PDE5 inhibitörleri cGMP yıkımını azaltır; birlikte güçlü vazodilatasyon ve hipotansiyon gelişebilir.,Sildenafil/tadalafil kullanan hastaya nitrat verilmez.,Beta blokerler antianginal olabilir; PDE5-nitrat birlikteliği özgül kontrendikasyon ilişkisidir.,PDE5 inhibitörü | Nitrat | cGMP,0,"Nitratların antianginal hemodinamik etkisini beta bloker, kalsiyum kanal blokeri ve diğer antiiskemik mekanizmalardan ayırt etme || Koroner arter hastalığı tanılı hasta, merdiven çıkarken göğüste baskı hissi geliştiğini ve birkaç dakika dinlenince rahatladığını anlatmaktadır. Benzer ataklarda dil altı nitrogliserin kullandığında yakınması kısa sürede azalmaktadır. Son 48 saatte istirahatte göğüs ağrısı, senkop veya uzamış ağrı atağı olmamıştır. Erektil disfonksiyon ilacı kullanmadığını ve nitrat sonrası belirgin baş dönmesi yaşamadığını belirtmektedir. Bu klinik bağlamda nitrogliserinin semptomu hangi temel hemodinamik etkiy"
